loan_id,customer_id,institution_id,loan_amount,loan_status,interest_rate,loan_tenure_months,application_date,disbursement_date,maturity_date,emi_amount,purpose_of_loan
28,2200,2969,810510.6875,Overdue,11.77999973,84,03-12-2021,06-01-2022,30-11-2028,14211.16992,Living Expenses
29,2200,2600,354606.8438,Active,11.59000015,96,30-06-2022,09-08-2022,28-06-2030,5684.459961,Course Fees + Living
30,2200,4955,445017.125,Active,11.51000023,48,17-05-2023,05-06-2023,15-05-2027,11612.34961,Course Fees
31,3211,3347,303239.25,Active,10.14999962,72,24-03-2025,07-05-2025,06-04-2031,5640,Course Fees + Living
32,3211,1165,389571.75,Active,10.21000004,84,03-12-2023,16-12-2023,09-11-2030,6509.339844,Course Fees
33,3211,283,209353.4219,Active,9.81000042,60,30-08-2024,27-09-2024,01-09-2029,4428.189941,Course Fees
34,1905,4231,602230.5,Active,12.30000019,96,09-06-2023,26-06-2023,15-05-2031,9887.169922,Course Fees + Living
35,1905,2355,318443.1875,Active,11.75,72,08-10-2024,26-10-2024,25-09-2030,6184.629883,Equipment & Books
36,1905,1000,269412.0938,Active,13.93000031,48,20-08-2024,02-09-2024,12-08-2028,7352.77002,Living Expenses
37,2487,2591,332545.5938,Defaulted,14.47999954,48,28-07-2023,31-08-2023,10-08-2027,9167.900391,Course Fees + Living
38,2487,3137,256532.9531,Overdue,13.40999985,72,13-11-2021,18-12-2021,17-11-2027,5205.5,Hostel Fees
39,2487,1176,336361.75,Active,12.56999969,48,10-06-2022,23-07-2022,02-07-2026,8952.089844,Living Expenses
40,1670,2676,265516.75,Active,14.05000019,96,02-02-2025,14-02-2025,03-01-2033,4619.830078,Equipment & Books
41,1670,493,275141.1563,Active,13.56000042,48,13-02-2022,03-03-2022,10-02-2026,7457.720215,Course Fees + Living
42,1670,3731,451159.1563,Active,15.03999996,96,01-07-2024,18-07-2024,06-06-2032,8107.839844,Course Fees + Living
43,3960,3757,343042.1875,Active,11.67000008,96,04-03-2025,20-03-2025,06-02-2033,5512.490234,Hostel Fees
44,3960,3817,293241.3125,Active,12.09000015,48,18-11-2024,13-12-2024,22-11-2028,7734.450195,Course Fees + Living
45,3960,2219,381889.2188,Active,14.27000046,36,24-11-2022,21-12-2022,05-12-2025,13101.37988,Course Fees
46,3453,2458,219601.0156,Active,13.80000019,84,08-10-2024,20-10-2024,14-09-2031,4091.360107,Hostel Fees
47,3453,4508,297787.0938,Active,11.98999977,72,28-09-2023,05-11-2023,04-10-2029,5820.180176,Course Fees
48,3453,185,244953.5469,Active,12.06000042,96,29-11-2024,11-01-2025,30-11-2032,3988.820068,Course Fees
49,3678,2951,254298.4844,Active,11.35000038,60,03-06-2023,25-06-2023,29-05-2028,5573.549805,Course Fees + Living
50,3678,2385,452953.4688,Active,11.97000027,96,05-07-2024,08-08-2024,27-06-2032,7355.100098,Course Fees
51,3678,849,624104.1875,Active,11.02000046,36,06-02-2023,25-02-2023,09-02-2026,20437.24023,Course Fees
52,4401,1813,426876.8438,Defaulted,13.81000042,96,30-10-2024,14-12-2024,02-11-2032,7370.609863,Course Fees + Living
53,4401,1925,342864.0313,Active,12.30000019,96,07-03-2023,20-04-2023,09-03-2031,5630.120117,Living Expenses
54,4401,2987,371440.875,Active,14.11999989,72,13-02-2024,06-03-2024,03-02-2030,7676.75,Course Fees + Living
55,3642,4186,568111.625,Active,10.64999962,48,17-02-2023,16-03-2023,23-02-2027,14587.16992,Course Fees
56,3642,1946,544900.9375,Active,11.30000019,48,23-03-2024,03-05-2024,12-04-2028,14162.12988,Course Fees + Living
57,3642,2924,316242.375,Active,9.130000114,96,10-08-2023,25-08-2023,14-07-2031,4654.040039,Course Fees + Living
58,4080,4518,865773.9375,Active,14.21000004,84,14-05-2025,16-06-2025,10-05-2032,16326.96973,Course Fees + Living
59,4080,4722,465497.9063,Active,12.26000023,48,28-10-2022,29-11-2022,08-11-2026,12318.42969,Course Fees
60,4080,2808,448516.9375,Defaulted,11.51000023,48,09-04-2023,07-05-2023,16-04-2027,11703.83984,Equipment & Books
61,334,1096,495972,Active,10.35999966,48,28-02-2023,12-03-2023,19-02-2027,12663.87988,Course Fees
62,334,888,272005.5625,Active,11.73999977,84,29-10-2022,17-11-2022,11-10-2029,4763.899902,Course Fees + Living
63,334,2314,354516.8438,Active,10.06000042,60,17-05-2023,19-06-2023,23-05-2028,7542.180176,Course Fees
64,303,2374,360175.9375,Active,14.10999966,84,30-12-2024,06-02-2025,01-01-2032,6771.279785,Course Fees
65,303,4029,162985.6094,Active,12.21000004,84,01-01-2022,05-02-2022,30-12-2028,2895.219971,Course Fees + Living
66,303,2798,225954.1563,Defaulted,12.35999966,96,18-01-2023,15-02-2023,04-01-2031,3717.100098,Equipment & Books
67,3911,2195,240889.2344,Active,9.670000076,84,18-11-2024,10-12-2024,04-11-2031,3958.389893,Course Fees + Living
68,3911,1014,198228.0938,Active,9.56000042,48,04-08-2021,14-08-2021,24-07-2025,4985.609863,Course Fees + Living
69,3911,4768,235403.8594,Active,11.78999996,48,16-11-2023,05-12-2023,14-11-2027,6174.859863,Course Fees
70,1955,3138,325823.625,Active,15.71000004,36,13-08-2022,11-09-2022,26-08-2025,11408.58984,Course Fees
71,1955,2337,396914.6875,Defaulted,16.62000084,84,30-01-2025,14-02-2025,09-01-2032,8024.040039,Course Fees + Living
72,1955,318,251743.7344,Active,15.84000015,48,17-01-2022,28-01-2022,07-01-2026,7114.430176,Course Fees + Living
73,269,108,403781.25,Active,16.76000023,84,07-07-2023,30-07-2023,23-06-2030,8195.889648,Living Expenses
74,269,900,365677.5625,Active,16.36000061,72,07-05-2025,25-05-2025,24-04-2031,8004.370117,Hostel Fees
75,269,998,365391.0938,Defaulted,16.69000053,96,23-12-2022,13-01-2023,02-12-2030,6919.859863,Course Fees + Living
76,4535,4461,805931.1875,Active,9.829999924,48,05-08-2024,26-08-2024,05-08-2028,20374.74023,Course Fees + Living
77,4535,2065,313139.7188,Overdue,11.11999989,72,01-07-2024,14-08-2024,14-07-2030,5979.540039,Course Fees + Living
78,4535,4344,210872.6563,Active,10.69999981,96,27-01-2024,25-02-2024,14-01-2032,3278.679932,Hostel Fees
79,3818,4770,244241.3594,Active,11.09000015,60,08-02-2023,06-03-2023,08-02-2028,5321.859863,Equipment & Books
80,3818,3877,361857.375,Overdue,10.68999958,36,12-10-2024,22-10-2024,07-10-2027,11793.69043,Course Fees + Living
81,3818,1839,681624.25,Defaulted,9.960000038,72,15-03-2025,09-04-2025,09-03-2031,12614.65039,Course Fees + Living
82,1574,4243,481122.0938,Active,15.93999958,96,12-03-2025,30-03-2025,16-02-2033,8898.339844,Equipment & Books
83,1574,1389,372063.375,Active,13.52000046,96,03-11-2022,25-11-2022,14-10-2030,6362.640137,Course Fees
84,1574,4892,427028.9375,Active,15.17000008,36,18-09-2024,16-10-2024,01-10-2027,14839.16992,Course Fees + Living
85,1047,4197,676597.25,Defaulted,16.51000023,84,19-09-2024,05-10-2024,30-08-2031,13634.73047,Course Fees
86,1047,4306,306101.2813,Defaulted,15.63000011,84,20-10-2023,24-11-2023,18-10-2030,6015,Equipment & Books
87,1047,317,524281.7813,Defaulted,15.96000004,60,13-06-2022,27-06-2022,01-06-2027,12738.61035,Course Fees + Living
88,785,3510,336602.5625,Active,13.48999977,60,19-03-2025,30-03-2025,04-03-2030,7743.209961,Course Fees + Living
89,785,1076,185084.7656,Active,12.31999969,96,15-04-2025,18-05-2025,06-04-2033,3040.300049,Course Fees
90,785,4418,561013.1875,Active,12.73999977,96,09-06-2023,25-06-2023,14-05-2031,9348.299805,Course Fees + Living
91,2511,2425,456072.3438,Active,11.57999992,60,31-12-2021,25-01-2022,30-12-2026,10049.08984,Course Fees
92,2511,1188,176038.9688,Overdue,9.949999809,36,06-08-2023,11-09-2023,26-08-2026,5675.859863,Living Expenses
93,2511,246,199332.8438,Active,10.57999992,48,17-05-2023,23-06-2023,02-06-2027,5110.950195,Course Fees
94,1353,3836,838776.4375,Overdue,11.65999985,96,30-03-2025,23-04-2025,12-03-2033,13475.08008,Course Fees + Living
95,1353,1799,399245,Active,10.14999962,60,10-07-2023,28-07-2023,01-07-2028,8512.55957,Course Fees
96,1353,3879,828675.75,Active,11.21000004,72,01-03-2025,21-03-2025,18-02-2031,15861.76953,Course Fees
97,1968,2926,491454.4688,Active,13.48999977,48,30-03-2022,24-04-2022,03-04-2026,13304.28027,Equipment & Books
98,1968,4618,270241.8438,Active,11.10999966,48,19-12-2024,02-01-2025,12-12-2028,6999.390137,Hostel Fees
99,1968,2504,232548.7344,Active,13.22999954,84,29-12-2021,15-01-2022,09-12-2028,4259.439941,Course Fees + Living
100,1875,2211,284003.0313,Active,15.53999996,48,27-03-2023,04-05-2023,13-04-2027,7981.359863,Living Expenses
101,1875,3102,558352.75,Active,15.94999981,48,27-04-2024,06-06-2024,16-05-2028,15809.55957,Course Fees
102,1875,2238,254551.7656,Active,16.65999985,36,02-08-2024,06-09-2024,22-08-2027,9032.849609,Course Fees
103,473,2747,308932.0313,Active,13.85999966,60,25-12-2022,07-02-2023,12-01-2028,7165.859863,Course Fees + Living
104,473,3239,405573.9688,Active,14.35999966,36,18-01-2023,02-02-2023,17-01-2026,13933.54004,Living Expenses
105,473,833,278223.6875,Active,13.5,96,16-10-2021,28-10-2021,16-09-2029,4754.330078,Course Fees
106,3489,3952,165585.9531,Defaulted,11.67000008,60,23-11-2024,25-12-2024,29-11-2029,3655.800049,Living Expenses
107,3489,1556,150000,Closed,10.23999977,36,16-08-2021,13-09-2021,28-08-2024,4857.189941,Living Expenses
108,3489,2395,278307.875,Active,11.39000034,48,30-04-2025,11-06-2025,21-05-2029,7245.450195,Living Expenses
109,1682,3326,334520.8125,Active,9.170000076,48,30-06-2023,06-08-2023,16-07-2027,8351.490234,Course Fees + Living
110,1682,4446,176529.2344,Active,10.64000034,84,15-09-2022,30-09-2022,24-08-2029,2989.570068,Course Fees
111,1682,42,292624.2813,Active,11.78999996,84,24-04-2023,06-06-2023,30-04-2030,5133.049805,Equipment & Books
112,1755,693,946331.875,Active,11.52000046,48,17-01-2024,05-02-2024,15-01-2028,24697.9707,Course Fees
113,1755,237,380011.375,Active,9.18999958,60,16-12-2021,28-01-2022,02-01-2027,7923.47998,Course Fees
114,1755,3670,813010.8125,Active,9.68999958,84,07-04-2022,21-04-2022,15-03-2029,13368.41992,Course Fees
115,4142,1113,583948.375,Active,11.53999996,60,31-12-2021,11-02-2022,16-01-2027,12852.91016,Course Fees + Living
116,4142,2650,697239.9375,Active,11.77000046,96,22-05-2023,05-06-2023,24-04-2031,11244.65039,Course Fees + Living
117,4142,2221,881267.75,Active,11.81999969,84,24-05-2022,08-07-2022,01-06-2029,15472.88965,Course Fees
118,165,2157,428761.4688,Active,10.69999981,72,20-09-2021,19-10-2021,18-09-2027,8095.830078,Course Fees + Living
119,165,1051,446364.4063,Active,9.56000042,36,20-10-2023,30-10-2023,14-10-2026,14310.84961,Course Fees
120,165,4596,860432.375,Defaulted,11.03999996,36,17-05-2025,21-06-2025,05-06-2028,28187.17969,Course Fees + Living
121,464,1834,312327.7813,Active,10,48,10-12-2022,03-01-2023,13-12-2026,7921.379883,Course Fees + Living
122,464,97,283297.8125,Active,9.399999619,36,17-03-2024,31-03-2024,16-03-2027,9061.580078,Course Fees + Living
123,464,1865,467278.6563,Active,9.340000153,60,05-08-2022,09-09-2022,14-08-2027,9776.55957,Living Expenses
124,4068,1964,401043.4063,Active,15.09000015,96,18-10-2021,28-11-2021,17-10-2029,7218.140137,Course Fees + Living
125,4068,545,401043.4063,Active,15.07999992,96,25-01-2022,10-02-2022,30-12-2029,7216.040039,Course Fees + Living
126,4068,2190,389855.5313,Defaulted,13.46000004,60,28-10-2023,13-11-2023,17-10-2028,8961.580078,Course Fees
127,2699,4462,550695.5,Closed,10.05000019,36,04-12-2021,04-01-2022,19-12-2024,17782.2207,Equipment & Books
128,2699,532,157472.4063,Active,10.47000027,48,17-10-2021,10-11-2021,20-10-2025,4029.189941,Equipment & Books
129,2699,3455,362177,Active,9.020000458,72,10-12-2021,12-01-2022,12-12-2027,6532.089844,Living Expenses
130,2362,4553,382792.7188,Active,13.57999992,96,01-07-2024,10-08-2024,29-06-2032,6559.450195,Course Fees + Living
131,2362,4765,278793.9688,Overdue,11.42000008,72,05-04-2025,08-05-2025,07-04-2031,5367.339844,Course Fees + Living
132,2362,3030,243126.9063,Defaulted,12.90999985,96,30-10-2024,10-11-2024,29-09-2032,4074.639893,Course Fees + Living
133,1512,3073,245432.8125,Active,14.40999985,72,09-11-2023,22-12-2023,20-11-2029,5111.390137,Course Fees + Living
134,1512,1749,384420.8438,Defaulted,11.14000034,36,23-11-2023,05-01-2024,20-12-2026,12610.57031,Course Fees
135,1512,4418,560770.4375,Active,14.17000008,48,05-08-2024,09-09-2024,19-08-2028,15372.65039,Course Fees + Living
136,4736,1992,277430.1563,Active,15.94999981,48,05-05-2025,03-06-2025,13-05-2029,7854.859863,Course Fees
137,4736,3534,383169.75,Active,15.31999969,48,24-10-2023,30-11-2023,09-11-2027,10725.88965,Course Fees + Living
138,4736,3918,473357.9063,Active,14.06999969,48,29-02-2024,14-04-2024,24-03-2028,12951.59961,Course Fees
139,2715,2675,483821.2813,Active,11.68999958,84,21-02-2025,18-03-2025,10-02-2032,8460.009766,Hostel Fees
140,2715,4297,346009.2813,Active,12.06999969,84,14-10-2022,02-11-2022,26-09-2029,6120.810059,Living Expenses
141,2715,4364,676606.8125,Active,12.46000004,60,16-09-2022,15-10-2022,19-09-2027,15209.17969,Course Fees
142,4242,1004,387909.8125,Active,9.140000343,36,01-09-2024,05-10-2024,20-09-2027,12360.08984,Course Fees + Living
143,4242,4492,663442.0625,Closed,11.64999962,36,06-09-2021,06-10-2021,20-09-2024,21925.74023,Course Fees
144,4242,2862,237893.7656,Defaulted,11.81999969,84,06-09-2022,20-09-2022,14-08-2029,4176.319824,Course Fees + Living
145,1675,3843,309725.5,Active,14.80000019,96,07-06-2024,07-07-2024,26-05-2032,5523.120117,Equipment & Books
146,1675,4760,663776.375,Active,16.32999992,60,14-10-2023,25-10-2023,28-09-2028,16259.55957,Living Expenses
147,1675,1961,508342.6875,Defaulted,16.54000092,84,29-09-2024,15-10-2024,09-09-2031,10254.51953,Living Expenses
148,4418,1706,875090.875,Active,13.89999962,60,30-10-2024,13-11-2024,18-10-2029,20315.08984,Course Fees + Living
149,4418,202,464017.4375,Active,11.98999977,72,07-05-2022,26-05-2022,24-04-2028,9069.519531,Equipment & Books
150,4418,3183,240816.5313,Active,12.68000031,96,29-10-2024,25-11-2024,14-10-2032,4005.120117,Course Fees
151,2211,1681,370590.8438,Active,11.26000023,96,25-03-2022,11-04-2022,28-02-2030,5873.350098,Course Fees + Living
152,2211,1982,333791,Defaulted,9.31000042,36,08-09-2021,23-09-2021,07-09-2024,10662.09961,Hostel Fees
153,2211,1056,245210.7344,Active,10.56000042,36,16-09-2024,22-10-2024,07-10-2027,7977.209961,Course Fees
154,3964,3018,287668.9688,Active,15.35999966,96,07-08-2021,29-08-2021,18-07-2029,5221.810059,Course Fees + Living
155,3964,2215,964304.5625,Overdue,13.13000011,72,28-03-2022,07-04-2022,06-03-2028,19424.60938,Course Fees
156,3964,191,331685.5,Active,16.29999924,72,03-04-2023,09-05-2023,07-04-2029,7250.319824,Course Fees + Living
157,916,1494,314201.6563,Closed,11.47999954,36,03-04-2022,15-05-2022,29-04-2025,10357.87988,Course Fees
158,916,1510,531680.3125,Active,13.06999969,84,02-05-2022,03-06-2022,27-04-2029,9693.540039,Living Expenses
159,916,4,186385.625,Defaulted,12.5,84,10-09-2023,17-10-2023,10-09-2030,3340.209961,Living Expenses
160,3201,2418,869711,Active,14.06000042,48,07-02-2023,26-02-2023,05-02-2027,23791.58008,Course Fees
161,3201,532,216639.0469,Active,12.73999977,84,03-03-2024,04-04-2024,27-02-2031,3910.300049,Course Fees
162,3201,3759,259114.6563,Active,11.18999958,96,09-02-2025,23-02-2025,12-01-2033,4096.399902,Course Fees
163,4781,1529,343503.125,Active,12.96000004,36,09-02-2023,02-03-2023,14-02-2026,11566.66016,Living Expenses
164,4781,2620,665292.0625,Active,12.10000038,36,21-12-2022,03-01-2023,18-12-2025,22128.59961,Course Fees + Living
165,4781,3610,229424.9531,Active,11.35999966,48,24-02-2024,12-03-2024,20-02-2028,5969.910156,Living Expenses
166,1651,2306,289686.125,Active,13.89999962,72,09-03-2023,11-04-2023,10-03-2029,5953.560059,Course Fees + Living
167,1651,3222,638677.5,Active,12.88000011,84,02-02-2022,15-03-2022,06-02-2029,11578.73047,Living Expenses
168,1651,1704,785113.3125,Defaulted,11.52999973,96,21-01-2022,18-02-2022,07-01-2030,12556.46973,Course Fees + Living
169,3991,1883,444937.5,Active,16.37999916,48,04-05-2025,21-05-2025,30-04-2029,12695.58984,Course Fees + Living
170,3991,2847,691037.125,Active,15.64000034,96,06-01-2023,05-02-2023,25-12-2030,12656.80957,Living Expenses
171,3991,2627,242990.5469,Active,14.52999973,60,21-12-2024,05-01-2025,10-12-2029,5720.830078,Equipment & Books
172,2125,4601,178892.2969,Active,9.270000458,72,27-06-2024,22-07-2024,21-06-2030,3248.719971,Course Fees
173,2125,4537,346272.7813,Active,10.09000015,84,11-06-2024,24-07-2024,18-06-2031,5764.410156,Course Fees + Living
174,2125,638,767931.1875,Active,11.72000027,84,06-11-2022,20-11-2022,14-10-2029,13441.44043,Living Expenses
175,4793,4710,378917.4375,Defaulted,10.36999989,60,16-09-2021,30-09-2021,04-09-2026,8120.629883,Course Fees
176,4793,1876,418613.5,Active,9.109999657,60,09-08-2021,23-08-2021,28-07-2026,8711.959961,Course Fees + Living
177,4793,1796,467095,Active,9.100000381,60,19-11-2024,31-12-2024,05-12-2029,9718.320313,Course Fees
178,4178,523,329601.4063,Defaulted,12.68999958,60,02-09-2023,29-09-2023,02-09-2028,7446.899902,Living Expenses
179,4178,254,965492.9375,Active,14.48999977,60,09-11-2023,26-11-2023,30-10-2028,22712.76953,Living Expenses
180,4178,2487,257923.9063,Active,14.05000019,48,29-11-2021,09-12-2021,18-11-2025,7054.490234,Course Fees
181,3957,2029,276773.5938,Active,11.71000004,36,13-09-2023,29-09-2023,13-09-2026,9154.259766,Course Fees
182,3957,1781,542470.9375,Active,14.23999977,48,04-12-2022,01-01-2023,11-12-2026,14888.91992,Course Fees + Living
183,3957,1741,396288.2813,Active,13.51000023,60,17-02-2024,03-03-2024,05-02-2029,9120.519531,Course Fees + Living
184,1728,3616,768201.125,Active,10.47000027,36,29-09-2022,22-10-2022,06-10-2025,24958.33984,Living Expenses
185,1728,4564,822237.3125,Active,10.31999969,72,28-02-2025,05-04-2025,05-03-2031,15364.51953,Equipment & Books
186,1728,2337,382681.25,Active,11.84000015,60,21-11-2022,20-12-2022,24-11-2027,8481.780273,Course Fees + Living
187,3135,4042,257598.25,Active,11.80000019,84,18-12-2024,16-01-2025,11-12-2031,4519.209961,Course Fees
188,3135,4292,280753.4375,Active,12.47999954,60,13-01-2025,28-01-2025,02-01-2030,6314.169922,Course Fees
189,3135,1351,727510,Closed,12.34000015,36,16-11-2021,26-12-2021,10-12-2024,24280.73047,Course Fees
190,341,4513,283465.375,Overdue,15.89000034,48,12-02-2025,22-02-2025,01-02-2029,8017.169922,Course Fees + Living
191,341,1761,259510.5938,Active,14.10999966,72,26-04-2025,03-06-2025,03-05-2031,5362.890137,Course Fees
192,341,2868,357597,Active,16.5,36,05-02-2024,20-03-2024,05-03-2027,12659.9502,Living Expenses
193,2801,846,526910.4375,Defaulted,11.31999969,48,10-12-2023,26-12-2023,05-12-2027,13701.12012,Course Fees + Living
194,2801,2587,413373.625,Active,12.81000042,60,09-12-2023,21-01-2024,25-12-2028,9365.660156,Course Fees + Living
195,2801,4015,301557.75,Active,11.60000038,72,13-12-2021,30-12-2021,29-11-2027,5833.080078,Living Expenses
196,701,3868,229996.6719,Active,13.44999981,60,04-05-2023,27-05-2023,30-04-2028,5286.200195,Course Fees
197,701,4734,360145.875,Active,11.52000046,48,19-02-2025,10-03-2025,17-02-2029,9399.879883,Living Expenses
198,701,4977,238598.4063,Closed,14.36999989,36,05-06-2022,21-06-2022,05-06-2025,8198.230469,Hostel Fees
199,810,599,570655.75,Active,11.27999973,72,28-11-2024,23-12-2024,22-11-2030,10944.09961,Course Fees + Living
200,810,663,515481.375,Overdue,14.03999996,72,15-04-2024,25-05-2024,24-04-2030,10633.01953,Course Fees
201,810,338,230301.9219,Active,12.27000046,96,03-07-2023,20-07-2023,08-06-2031,3777.199951,Course Fees + Living
202,446,1292,264412.5938,Active,13.85999966,60,07-07-2023,06-08-2023,10-07-2028,6133.549805,Course Fees + Living
203,446,793,215711.1563,Defaulted,12.01000023,96,27-06-2022,23-07-2022,11-06-2030,3507.27002,Course Fees + Living
204,446,974,188283.8438,Active,13.81999969,84,31-05-2023,13-07-2023,06-06-2030,3510.26001,Living Expenses
205,1767,2032,408270.625,Active,11.30000019,36,03-04-2023,05-05-2023,19-04-2026,13424.70996,Course Fees
206,1767,882,740232.5,Active,9.649999619,60,03-10-2021,18-10-2021,22-09-2026,15599.46973,Course Fees
207,1767,4112,665868.4375,Overdue,11.98999977,60,12-09-2024,27-09-2024,01-09-2029,14808,Course Fees
208,2486,768,598516.125,Active,11.71000004,84,25-11-2022,12-12-2022,05-11-2029,10472.37012,Course Fees + Living
209,2486,3605,678975,Active,11.34000015,96,09-12-2024,10-01-2025,29-11-2032,10791.96973,Course Fees
210,2486,1657,280575.7813,Active,10.23999977,96,25-01-2024,21-02-2024,10-01-2032,4293.839844,Course Fees + Living
211,2767,2908,448839.3125,Active,15.81000042,96,27-09-2023,26-10-2023,14-09-2031,8266.259766,Living Expenses
212,2767,3590,382947.5313,Active,14.27000046,72,15-11-2022,03-12-2022,01-11-2028,7946.009766,Course Fees
213,2767,488,170705.2344,Defaulted,15.15999985,84,19-10-2023,02-11-2023,26-09-2030,3309.51001,Course Fees + Living
214,3229,2131,644540.5625,Active,9.239999771,72,22-06-2022,13-07-2022,11-06-2028,11695.00977,Living Expenses
215,3229,3568,323620.1875,Defaulted,10.65999985,48,28-02-2023,02-04-2023,12-03-2027,8310.620117,Course Fees
216,3229,1670,506386.6875,Active,11.01000023,36,20-11-2023,04-01-2024,19-12-2026,16580.11914,Course Fees + Living
217,3728,2490,450229.9375,Defaulted,15.93999958,60,16-12-2022,25-01-2023,30-12-2027,10933.88965,Hostel Fees
218,3728,1662,553606.0625,Active,16.45999908,96,28-11-2023,12-12-2023,31-10-2031,10408.21973,Living Expenses
219,3728,3252,840865.0625,Defaulted,14.93000031,96,26-03-2024,08-05-2024,27-03-2032,15053.45996,Equipment & Books
220,1730,2950,267843.1875,Overdue,13.03999996,36,11-11-2023,28-11-2023,12-11-2026,9029.570313,Course Fees + Living
221,1730,1971,267843.1875,Active,13.25,36,24-09-2022,13-10-2022,27-09-2025,9057.040039,Course Fees + Living
222,1730,1361,267843.1875,Active,14.81999969,48,07-01-2024,30-01-2024,09-01-2028,7430.279785,Course Fees
223,3096,2457,637143.125,Active,15.48999977,84,29-12-2021,02-02-2022,27-12-2028,12471.65039,Course Fees + Living
224,3096,2360,291023.375,Overdue,14.03999996,84,20-10-2022,27-11-2022,21-10-2029,5460.859863,Living Expenses
225,3096,28,577350.5625,Active,15.14999962,84,19-12-2021,26-01-2022,20-12-2028,11189.62012,Course Fees + Living
226,1979,1255,259575.8125,Defaulted,16.62999916,96,12-06-2023,05-07-2023,24-05-2031,4905.5,Course Fees + Living
227,1979,2563,302997.125,Active,13.92000008,72,28-01-2023,04-03-2023,31-01-2029,6230.810059,Living Expenses
228,1979,879,194989.8281,Closed,14.65999985,36,21-12-2021,02-01-2022,17-12-2024,6727.370117,Course Fees + Living
229,1043,2654,354917.875,Active,11.53999996,96,28-12-2022,07-01-2023,26-11-2030,5679.930176,Course Fees + Living
230,1043,381,299173.0938,Active,14.02000046,96,15-04-2025,16-05-2025,04-04-2033,5199.689941,Course Fees + Living
231,1043,2092,183713.0469,Active,12.39999962,60,22-11-2022,03-12-2022,07-11-2027,4124.200195,Course Fees + Living
232,3801,2315,266590.375,Active,14.14999962,96,25-08-2022,30-09-2022,19-08-2030,4653.180176,Course Fees
233,3801,739,367659.2188,Closed,14.77000046,36,22-06-2022,26-07-2022,10-07-2025,12703.54004,Living Expenses
