indicator_id,state_id,quarter,gdp_growth_rate,inflation_rate,unemployement_rate,education_spending_percent,per_capita_income,literacy_rate
49,3,2019-Q1,6.340000153,4.010000229,9.260000229,3.460000038,188139.2969,76.94999695
50,3,2019-Q2,3.619999886,5.639999866,7.53000021,4.610000134,236008.0156,67.94000244
51,3,2019-Q3,3.519999981,7.260000229,6.010000229,2.720000029,179738.2969,63.86000061
52,3,2019-Q4,4.480000019,6.349999905,4.440000057,4.239999771,218987.0156,74.11000061
53,3,2020-Q1,2.809999943,5.929999828,6.460000038,4.25,204718.0156,78.40000153
54,3,2020-Q2,2.549999952,4.949999809,9.020000458,4.889999866,193460.4375,78.54000092
55,3,2020-Q3,2.660000086,5.980000019,6.440000057,3.809999943,228126.2188,65.11000061
56,3,2020-Q4,3.599999905,5.860000134,8.039999962,3.539999962,201531.9219,73.48000336
57,3,2021-Q1,3.980000019,4.150000095,11.06999969,3.029999971,190191.75,68.08000183
58,3,2021-Q2,4.650000095,6.099999905,6.659999847,4.079999924,142791.5156,64.70999908
59,3,2021-Q3,3.980000019,6.480000019,9.300000191,2.819999933,133582.2344,78.47000122
60,3,2021-Q4,2.619999886,5.880000114,10.96000004,2.609999895,154668.9844,61.90000153
61,3,2022-Q1,6.480000019,4.329999924,9.140000343,4.699999809,221526.0938,72.52999878
62,3,2022-Q2,3.650000095,4.510000229,9.420000076,2.75,193965.375,64.36000061
63,3,2022-Q3,6.489999771,6.489999771,9.770000458,4.329999924,244501.0469,64.23999786
64,3,2022-Q4,4.960000038,5.71999979,8.930000305,3.450000048,214219.125,62.11999893
65,3,2023-Q1,4.920000076,4.889999866,4.25,3.839999914,202960.1875,70.80999756
66,3,2023-Q2,5.059999943,4.21999979,7.730000019,4.130000114,202167.0313,67.51000214
67,3,2023-Q3,4.53000021,4.010000229,6.710000038,2.799999952,187913.4375,73.65000153
68,3,2023-Q4,3.470000029,7.309999943,4.019999981,2.940000057,190202.5156,67.69000244
69,3,2024-Q1,5.920000076,6.090000153,4.139999866,3.769999981,221812.4531,62.47000122
70,3,2024-Q2,3.74000001,4.949999809,4.710000038,3.420000076,140077.1875,68.08000183
71,3,2024-Q3,4.019999981,4.710000038,4.539999962,3.460000038,135410.2031,63.02999878
72,3,2024-Q4,5.699999809,7.429999828,5.650000095,3.359999895,229546.7969,67.26999664
73,4,2019-Q1,6.46999979,4.679999828,5.099999905,2.799999952,167293.1406,77.05999756
74,4,2019-Q2,4.480000019,5.559999943,9.819999695,2.630000114,216812.3594,79.56999969
75,4,2019-Q3,5.360000134,7.050000191,6.53000021,4.389999866,121395.4688,76.01999664
76,4,2019-Q4,4.730000019,6.989999771,5.800000191,2.50999999,172791.8125,63.97000122
77,4,2020-Q1,3.359999895,4.630000114,5.849999905,4.829999924,174529.6563,60.75999832
78,4,2020-Q2,3.549999952,5.889999866,12.64000034,3.299999952,243933.9219,78.91000366
79,4,2020-Q3,2.369999886,5.71999979,12.18999958,3.859999895,165392.125,68.19000244
80,4,2020-Q4,3.359999895,6.650000095,7.510000229,4.269999981,183752.9063,65.79000092
81,4,2021-Q1,4.559999943,4.110000134,8.970000267,2.920000076,162841.4688,76.13999939
82,4,2021-Q2,4.599999905,6.389999866,4.989999771,2.809999943,227397.6094,65.75
83,4,2021-Q3,4.099999905,7.139999866,9.029999733,4.039999962,248175.0156,72.48999786
84,4,2021-Q4,3.480000019,4.559999943,10.59000015,2.690000057,215351.9844,68.80999756
85,4,2022-Q1,6.130000114,4.389999866,7.320000172,4.349999905,166432.2031,72.16000366
86,4,2022-Q2,4.800000191,6.380000114,8.550000191,4.510000229,151684.8906,61.27000046
87,4,2022-Q3,5.389999866,7.039999962,7.820000172,4.46999979,208890.2969,67.69999695
88,4,2022-Q4,3.690000057,5.269999981,8.920000076,4.400000095,166694.8438,60.36000061
89,4,2023-Q1,3.589999914,4.559999943,9.350000381,3.400000095,162350.7344,63.91999817
90,4,2023-Q2,3.49000001,5.090000153,5.820000172,4.739999771,132983.125,71.87999725
91,4,2023-Q3,3.789999962,7.230000019,7.179999828,3.130000114,212054.5156,67.43000031
92,4,2023-Q4,5.940000057,6.349999905,7.269999981,3.529999971,243430.2656,66.34999847
93,4,2024-Q1,4.590000153,7.489999771,4.230000019,3.819999933,201137.1094,74.93000031
94,4,2024-Q2,3.470000029,4.28000021,8.140000343,4.239999771,187056.6563,73.65000153
95,4,2024-Q3,4.639999866,5.449999809,9.779999733,3.809999943,136524.125,60.15999985
96,4,2024-Q4,5.170000076,5.190000057,6.150000095,4.239999771,208090.3438,68.97000122
97,5,2019-Q1,3.670000076,6.369999886,6.449999809,3.450000048,124849.1563,71.87999725
98,5,2019-Q2,5.039999962,5.619999886,5.320000172,4.03000021,179113.5625,76.79000092
99,5,2019-Q3,3.5,7.119999886,5.659999847,3.680000067,187457.1875,69.16000366
100,5,2019-Q4,6.130000114,6.96999979,8.600000381,3.269999981,135985.875,70.01999664
101,5,2020-Q1,2.930000067,7.099999905,6.829999924,4.75,169055.4219,69.41999817
102,5,2020-Q2,3.450000048,4.179999828,10.43000031,4.369999886,125872.4922,70.12000275
103,5,2020-Q3,3.359999895,4.349999905,12.02000046,4.230000019,162962.3594,60.54000092
104,5,2020-Q4,2.609999895,5.610000134,8.449999809,3.670000076,209793.1563,60.13000107
105,5,2021-Q1,3.069999933,6.130000114,8.520000458,3.279999971,160135.3594,66.44999695
106,5,2021-Q2,3.230000019,6.710000038,11.13000011,2.680000067,245523.1875,68.80999756
107,5,2021-Q3,3.130000114,7.369999886,5.21999979,2.730000019,170342.1563,62.36999893
108,5,2021-Q4,4.369999886,5.179999828,5.360000134,2.579999924,150014.7969,76.30999756
109,5,2022-Q1,3.829999924,6.420000076,9.359999657,3.920000076,132621.7969,67.55999756
110,5,2022-Q2,5.440000057,4.130000114,8.529999733,2.789999962,214895.6563,60.75999832
111,5,2022-Q3,3.25,5.329999924,9.550000191,3.369999886,228901.6406,63.25999832
112,5,2022-Q4,4.340000153,5.210000038,6.889999866,4.070000172,191111.4375,79.66999817
113,5,2023-Q1,6.099999905,4.739999771,7.480000019,4.690000057,193603.125,75.80000305
114,5,2023-Q2,4.71999979,6.159999847,6.539999962,5,124827,61.43999863
115,5,2023-Q3,6.349999905,5.630000114,7.260000229,4.159999847,139664.1406,68.09999847
116,5,2023-Q4,4.960000038,4.869999886,4.21999979,2.819999933,211315.8906,71.44999695
117,5,2024-Q1,4.099999905,6.650000095,6.989999771,4.199999809,229070.2656,61.65000153
118,5,2024-Q2,5.349999905,5.710000038,8.109999657,4.730000019,181358.5938,71.95999908
119,5,2024-Q3,3.269999981,6.28000021,5.150000095,4.239999771,207969.2188,79.45999908
120,5,2024-Q4,4.269999981,4.980000019,6.059999943,2.799999952,217968.6563,63.04999924
121,6,2019-Q1,5.329999924,6.210000038,4.760000229,5.28000021,279557.625,81.15000153
122,6,2019-Q2,5.25,3.940000057,3.299999952,5.920000076,276639.5938,75.08000183
123,6,2019-Q3,5.710000038,4.710000038,4.570000172,3.980000019,239618.8594,81.23999786
124,6,2019-Q4,5.53000021,5.96999979,5.599999905,4.909999847,189811.1563,75.25
125,6,2020-Q1,3.650000095,4.980000019,7.670000076,3.940000057,227388.3438,89.55999756
126,6,2020-Q2,3.99000001,4.300000191,6.429999828,3.559999943,260962.5938,82.48000336
127,6,2020-Q3,4.300000191,6.320000172,5.789999962,3.660000086,200712.9688,87.08999634
128,6,2020-Q4,4.389999866,4.940000057,4.880000114,4.190000057,201359.7656,81.61000061
129,6,2021-Q1,4.659999847,5.71999979,6.690000057,4.170000076,226859.2188,84.63999939
130,6,2021-Q2,4.269999981,3.859999895,6.630000114,5.590000153,190384.9844,75.59999847
131,6,2021-Q3,4.659999847,4.300000191,5.300000191,3.650000095,233494.5469,80.66999817
132,6,2021-Q4,5.889999866,5.139999866,5.03000021,3.609999895,202496.8906,84.23999786
133,6,2022-Q1,5.429999828,5.269999981,3.220000029,3.890000105,236216.75,79.94999695
134,6,2022-Q2,6.889999866,4.119999886,3.220000029,4.949999809,267448.625,79.55999756
135,6,2022-Q3,6.190000057,4.46999979,4.650000095,3.559999943,183177.6563,82.93000031
136,6,2022-Q4,6.849999905,6.019999981,3.589999914,4.809999943,180923.4063,79.01000214
137,6,2023-Q1,7.210000038,4.699999809,5.510000229,5.889999866,271420.125,76.33000183
138,6,2023-Q2,5,5.440000057,5.639999866,5.059999943,299256.0625,82.41999817
139,6,2023-Q3,7.139999866,6.050000191,3.539999962,4.690000057,299649.9375,80.98000336
140,6,2023-Q4,6.650000095,3.799999952,4.869999886,4.090000153,221939.1563,80.31999969
141,6,2024-Q1,6.940000057,6.449999809,4.519999981,4.650000095,265799.1875,83.95999908
142,6,2024-Q2,6.809999943,4.829999924,3.50999999,4.570000172,293175.0625,89.41000366
143,6,2024-Q3,6.320000172,6.420000076,5.300000191,4.599999905,191807.5625,85.66000366
144,6,2024-Q4,7.289999962,4.050000191,5.78000021,5.039999962,293704.8438,89.27999878
145,7,2019-Q1,7.710000038,5.960000038,3.619999886,5.309999943,309803.5313,91.76000214
146,7,2019-Q2,7.289999962,3,2.319999933,6.670000076,390733.1875,92.62999725
147,7,2019-Q3,8.779999733,5.760000229,4.820000172,5.110000134,332179.1875,92.69999695
148,7,2019-Q4,6.510000229,4.449999809,3.450000048,5.329999924,358103.8125,91.41999817
149,7,2020-Q1,4.010000229,5.820000172,6.889999866,4.139999866,315165.0938,85.05999756
150,7,2020-Q2,3.940000057,3.319999933,6.010000229,4.690000057,227105.625,81.91999817
151,7,2020-Q3,5.230000019,3.049999952,4.03000021,6.019999981,320867.0625,88.73000336
152,7,2020-Q4,4.650000095,4.71999979,6.380000114,4.820000172,307782.9688,83.47000122
153,7,2021-Q1,6.929999828,5.440000057,4.869999886,7,200302.4844,84.83999634
154,7,2021-Q2,5.269999981,4.519999981,3.660000086,5.130000114,245552.5625,92.19000244
155,7,2021-Q3,5.639999866,4.46999979,4.619999886,5.489999771,397151.0625,83.72000122
156,7,2021-Q4,6.139999866,5.909999847,5.940000057,4.460000038,247510.9844,93.06999969
157,7,2022-Q1,8.659999847,5.210000038,2.690000057,6.389999866,389489.75,93.40000153
158,7,2022-Q2,8.050000191,5.739999771,2.660000086,5.579999924,380545.8125,91.66999817
159,7,2022-Q3,7.46999979,5.929999828,3.369999886,6.710000038,280878.7188,94.91999817
160,7,2022-Q4,6.630000114,5.46999979,2.420000076,5.639999866,289929.0938,83.68000031
161,7,2023-Q1,6.730000019,5.079999924,3.650000095,5.079999924,275325.375,89.76999664
162,7,2023-Q2,6.679999828,5.550000191,3.329999924,6.130000114,305493.8125,82.23999786
163,7,2023-Q3,6.449999809,5.909999847,3.24000001,6.849999905,336392.1563,80.73999786
164,7,2023-Q4,6.349999905,5.360000134,3.599999905,4.909999847,224059.0313,84.01999664
165,7,2024-Q1,6.630000114,5.099999905,3.75999999,6.900000095,397239.7188,80.73999786
166,7,2024-Q2,7.440000057,3.700000048,3.049999952,4.690000057,310160.2813,85.16000366
167,7,2024-Q3,6.679999828,3.670000076,2.220000029,4.610000134,385010.8438,87.04000092
168,7,2024-Q4,6.980000019,3.50999999,2.779999971,5.300000191,236685.9531,92.94000244
169,8,2019-Q1,6.210000038,4.519999981,4.159999847,4.619999886,227853.3594,81.02999878
170,8,2019-Q2,7.369999886,5.940000057,4.760000229,5.809999943,219507.6719,85.20999908
171,8,2019-Q3,6.630000114,4.789999962,4.289999962,5.059999943,255253,89.73999786
172,8,2019-Q4,7.940000057,3.950000048,2.369999886,4.940000057,283451.625,86.55000305
173,8,2020-Q1,5.070000172,3.5,5.53000021,4.699999809,232954.4219,87.66999817
174,8,2020-Q2,3.75999999,5.920000076,4.369999886,6.239999771,304433.625,93.66999817
175,8,2020-Q3,4.440000057,5.199999809,6.699999809,5.5,334019.2813,84.66000366
176,8,2020-Q4,4.5,3.609999895,5.570000172,4.579999924,384299.3125,89.94999695
177,8,2021-Q1,6.019999981,4.690000057,5.989999771,6.480000019,264313.1875,94.76999664
178,8,2021-Q2,5.230000019,5.190000057,2.450000048,5.010000229,292431.9688,92.33999634
179,8,2021-Q3,6.119999886,5.650000095,5.789999962,6.989999771,383016.7813,88.69000244
180,8,2021-Q4,5.329999924,4.610000134,3.349999905,4.769999981,328659.8438,80.41999817
181,8,2022-Q1,6.150000095,5.630000114,4.980000019,5.659999847,358060.625,87.98999786
182,8,2022-Q2,7.489999771,4.360000134,4.179999828,4.369999886,242092.3125,85.83000183
183,8,2022-Q3,8.210000038,5.769999981,4.400000095,5.510000229,384985.625,86.94999695
184,8,2022-Q4,7.010000229,5.730000019,2.549999952,5.019999981,349832.4375,90.58000183
185,8,2023-Q1,8.18999958,5.230000019,2.430000067,4.260000229,381286.375,86.69000244
186,8,2023-Q2,6.5,3.910000086,2.180000067,5.960000038,301355.0313,93.41000366
187,8,2023-Q3,7.849999905,5.53000021,3.349999905,4.440000057,375286.4063,90.06999969
188,8,2023-Q4,6.230000019,5.059999943,4.369999886,6.690000057,341202.4063,85.59999847
189,8,2024-Q1,8.43999958,5.070000172,2.00999999,5.320000172,296097.5625,90.58999634
190,8,2024-Q2,8.720000267,3.940000057,3.680000067,4.820000172,333062.8438,91.5
191,8,2024-Q3,6.119999886,5.96999979,4.519999981,6.860000134,201233.3906,83.06999969
192,8,2024-Q4,7.619999886,4.460000038,4.340000153,5.130000114,216064.2969,94.22000122
193,9,2019-Q1,5.769999981,6.309999943,5.25,5.110000134,281683.0938,81.11000061
194,9,2019-Q2,6.929999828,4.909999847,3.079999924,4.440000057,228651.3125,78.19000244
195,9,2019-Q3,6.190000057,5.980000019,5.71999979,5.730000019,246768.5625,86.05999756
196,9,2019-Q4,6.300000191,6.380000114,5.099999905,4.860000134,275000.1875,79.55999756
197,9,2020-Q1,4.059999943,4.679999828,6.099999905,4.679999828,261285.875,82.72000122
198,9,2020-Q2,3.720000029,4.510000229,7.25,4.010000229,197400.4219,83.66999817
199,9,2020-Q3,3.599999905,5.400000095,7.769999981,5.829999924,205898.5156,85.31999969
200,9,2020-Q4,3.660000086,4.300000191,7.340000153,5.960000038,255678.8125,89.94000244
201,9,2021-Q1,5.730000019,3.859999895,4.449999809,5.349999905,253537.3281,86.58999634
202,9,2021-Q2,5.739999771,4.690000057,5.150000095,5.900000095,206627.5313,80.16000366
203,9,2021-Q3,4.53000021,6.199999809,7.099999905,5.920000076,240525.6563,84.62999725
204,9,2021-Q4,5.260000229,6.420000076,3.74000001,4.510000229,231015.4375,76.01999664
205,9,2022-Q1,7.199999809,4.670000076,4.389999866,5.130000114,208297.5781,77
206,9,2022-Q2,5.670000076,5.409999847,4.860000134,5.630000114,264714.0313,82.23000336
207,9,2022-Q3,7.079999924,4.329999924,3.400000095,5.090000153,207371.1406,82.36000061
208,9,2022-Q4,6.300000191,4.380000114,3.950000048,3.849999905,290183.2813,75.48999786
209,9,2023-Q1,5.860000134,4.349999905,5.760000229,4.150000095,199899.375,86.37000275
210,9,2023-Q2,6.829999924,6.170000076,5.230000019,3.640000105,248953.4219,81.27999878
211,9,2023-Q3,6.960000038,5.659999847,5.119999886,3.630000114,261216.7813,81.08000183
212,9,2023-Q4,7.300000191,5.110000134,5.849999905,5.25,270742.9063,75.62999725
213,9,2024-Q1,5.269999981,5.940000057,5.019999981,4.860000134,243433.0625,86.77999878
214,9,2024-Q2,5.199999809,5.639999866,4.150000095,4.010000229,230559.2656,87.06999969
215,9,2024-Q3,5.369999886,3.74000001,5.610000134,4.769999981,201884.3125,76.13999939
216,9,2024-Q4,5.349999905,6.269999981,3.220000029,4.380000114,258535.9063,86.98000336
217,10,2019-Q1,6.829999924,4.809999943,5.730000019,5.21999979,265491.375,88.61000061
218,10,2019-Q2,5.880000114,5.559999943,5.630000114,4.650000095,291593.5313,79.58999634
219,10,2019-Q3,6.239999771,5.210000038,5.070000172,5.46999979,180673.5469,84.30999756
220,10,2019-Q4,6.269999981,4.489999771,3.00999999,3.50999999,272555.0938,81.98999786
221,10,2020-Q1,3.170000076,3.559999943,6.079999924,4.489999771,253353.25,81.51000214
222,10,2020-Q2,3.720000029,5.139999866,5.190000057,5.599999905,295395.8125,77.68000031
223,10,2020-Q3,4.159999847,5.53000021,6.460000038,4.820000172,292138.4375,79.51000214
224,10,2020-Q4,3.109999895,4.03000021,7.980000019,4.329999924,203768.7031,88.61000061
225,10,2021-Q1,4.389999866,6.269999981,4.699999809,5.639999866,220921.9375,84.33999634
226,10,2021-Q2,5.010000229,5.730000019,6.21999979,5.260000229,180057.1406,76.63999939
227,10,2021-Q3,4.360000134,5.769999981,7.179999828,3.559999943,237681.375,79.61000061
228,10,2021-Q4,4.289999962,6,3.930000067,5.199999809,217715.875,76.30999756
229,10,2022-Q1,6.550000191,5.679999828,3.450000048,5.760000229,290212.6875,87.59999847
230,10,2022-Q2,5.309999943,4.690000057,4.789999962,3.5,204198.5313,81.56999969
231,10,2022-Q3,6.539999962,6.070000172,4.960000038,4.639999866,199991.5625,75.81999969
232,10,2022-Q4,5.460000038,5.889999866,5.019999981,4.420000076,266831.9375,78.59999847
233,10,2023-Q1,5.670000076,4.260000229,4.159999847,4.559999943,258545.4844,79.41999817
234,10,2023-Q2,6.260000229,6.28000021,4.860000134,3.690000057,204103.3438,85.40000153
235,10,2023-Q3,7.210000038,4.480000019,4.380000114,5.110000134,209189.5156,88.40000153
236,10,2023-Q4,6.25,5.289999962,3.440000057,5.46999979,188817.7969,84.33999634
237,10,2024-Q1,7.239999771,3.849999905,5.889999866,4.570000172,254242.5781,76.83000183
238,10,2024-Q2,6.25,5.300000191,4.139999866,3.730000019,268265.375,79.94999695
239,10,2024-Q3,6.139999866,5.199999809,3.019999981,5.119999886,202177.8125,87.37999725
240,10,2024-Q4,5.300000191,4.260000229,3.029999971,3.940000057,288243.9375,83.61000061
241,12,2019-Q1,4.190000057,5.340000153,8.199999809,2.900000095,188253.5,66.5
242,12,2019-Q2,3.440000057,4.090000153,9.670000076,2.890000105,220376.3125,79.66000366
243,12,2019-Q3,3.839999914,4.21999979,4.739999771,3.690000057,129989.5078,70.98999786
244,12,2019-Q4,5.460000038,4.380000114,5.75,2.519999981,192155.875,64.66000366
245,12,2020-Q1,2.829999924,6.519999981,10.14999962,4.050000191,219665.9844,67.61000061
246,12,2020-Q2,2.49000001,5.880000114,8.229999542,3.730000019,181327.8438,60.02999878
247,12,2020-Q3,2.569999933,5.079999924,10.64999962,2.839999914,142980.375,73.62000275
248,12,2020-Q4,3.700000048,6.940000057,8.25,2.789999962,153503.9531,65.23999786
249,12,2021-Q1,4.670000076,4.369999886,11.02000046,2.980000019,179054.7656,78.11000061
250,12,2021-Q2,4.260000229,7.46999979,10.07999992,2.900000095,243479.3125,67.23000336
251,12,2021-Q3,3.74000001,6.889999866,7.230000019,2.579999924,234165.0625,71.11000061
252,12,2021-Q4,2.869999886,5.460000038,5.889999866,3.400000095,155992.9531,73.87000275
253,12,2022-Q1,3.180000067,4.599999905,8.529999733,2.960000038,134659.0156,79.98999786
254,12,2022-Q2,3.220000029,4.860000134,8.840000153,2.930000067,195249.2031,74.59999847
255,12,2022-Q3,4.599999905,6.010000229,6.550000191,3.019999981,188109.5625,70.29000092
256,12,2022-Q4,5.599999905,6.989999771,6.320000172,2.900000095,185635.7031,60.77000046
257,12,2023-Q1,5.539999962,5.329999924,7.380000114,2.559999943,151407.4844,61.41999817
258,12,2023-Q2,4.71999979,5.139999866,9.579999924,4.349999905,245881.875,65.63999939
259,12,2023-Q3,5.96999979,4.809999943,4.519999981,4.949999809,183040.5781,79.75
260,12,2023-Q4,5.110000134,5.059999943,4.539999962,2.640000105,177440.5,61.61000061
261,12,2024-Q1,3.579999924,5.019999981,8.779999733,3.400000095,128569.0938,75.86000061
262,12,2024-Q2,5.619999886,5.989999771,5.190000057,3.74000001,167750.4063,71.86000061
263,12,2024-Q3,5.480000019,5.590000153,5.769999981,2.769999981,138083.4531,69.41999817
264,12,2024-Q4,6.420000076,5.110000134,6.409999847,4.980000019,180463.7969,68.51000214
265,13,2019-Q1,6.880000114,5.019999981,2.789999962,5.03000021,360426.7188,91.30999756
266,13,2019-Q2,6.840000153,3.769999981,2.309999943,5.429999828,222644.5156,80.16000366
267,13,2019-Q3,6.800000191,5.679999828,2.589999914,6.349999905,294960.9688,81.88999939
268,13,2019-Q4,7.139999866,4.820000172,3.420000076,5.210000038,236267.0469,94.41999817
269,13,2020-Q1,4.78000021,5.320000172,6.369999886,6.349999905,376991.6563,87.01999664
270,13,2020-Q2,4.25,4.949999809,5.369999886,6.349999905,384808.1875,87.55999756
271,13,2020-Q3,5.059999943,4.579999924,2.920000076,5.090000153,347975.75,82.65000153
272,13,2020-Q4,4.869999886,3.089999914,4.710000038,4.28000021,386975.5938,92.52999878
273,13,2021-Q1,4.980000019,5.039999962,2.99000001,5.989999771,342145.2188,93.40000153
274,13,2021-Q2,6.639999866,5.75,3.940000057,4.230000019,235519.3438,84.23000336
275,13,2021-Q3,6.849999905,3.589999914,2.599999905,5.690000057,277087.2813,85.08999634
276,13,2021-Q4,5.869999886,4.190000057,2.920000076,4.260000229,300545.6563,89.38999939
277,13,2022-Q1,8.970000267,4.050000191,2.650000095,6.420000076,315838.125,81.44999695
278,13,2022-Q2,6.900000095,5.269999981,4.909999847,4.940000057,295037.3125,93.15000153
279,13,2022-Q3,6.119999886,5.25,4.539999962,4.260000229,300369.25,82.70999908
280,13,2022-Q4,7.550000191,5.869999886,3.75999999,6.75,297183.3438,82.38999939
281,13,2023-Q1,8.789999962,4.550000191,3.630000114,5.570000172,294032.625,80.45999908
282,13,2023-Q2,7.389999866,5.039999962,3.910000086,6.710000038,299250.1875,93.16000366
283,13,2023-Q3,7.300000191,3.109999895,3.049999952,5.199999809,319499.9688,93.75
284,13,2023-Q4,8.260000229,3.960000038,4.869999886,6.570000172,295183.0938,94.55999756
285,13,2024-Q1,7.289999962,3.700000048,2.220000029,6.769999981,264720.4688,93.02999878
286,13,2024-Q2,6.920000076,5.659999847,4.769999981,5.079999924,396528.2813,88.27999878
287,13,2024-Q3,6.119999886,3.779999971,3.049999952,5.110000134,232407.9063,93.25
288,13,2024-Q4,8.819999695,4.079999924,2.769999981,4.659999847,361798.3438,92.29000092
289,14,2019-Q1,7.909999847,4.820000172,4.510000229,4.699999809,279585.875,86.81999969
290,14,2019-Q2,7.320000172,4,4.820000172,6.849999905,348847.9063,80.16999817
291,14,2019-Q3,6.880000114,5.849999905,4.389999866,6,269770.1875,89.29000092
292,14,2019-Q4,8.760000229,3.799999952,4.570000172,4.71999979,262834.9688,93.59999847
293,14,2020-Q1,4.579999924,3.660000086,4.690000057,4.400000095,265403.5625,86.01999664
294,14,2020-Q2,4.460000038,4.28000021,5.010000229,4.860000134,358901.4375,92.66999817
295,14,2020-Q3,4.050000191,4.440000057,6.639999866,4.239999771,273545.25,84.13999939
296,14,2020-Q4,3.920000076,4.760000229,3.49000001,4.599999905,233147.6094,91.18000031
297,14,2021-Q1,6.730000019,3.589999914,5.5,4.559999943,277211.125,82.90000153
298,14,2021-Q2,5.539999962,4.519999981,3.279999971,5.179999828,267629.0938,86.45999908
