payment_id,loan_id,payment_date,payment_amount,payment_method,payment_status,late_fee,principal_component,interest_component,outstanding_balance
84,3949,17-06-2023,10039.92969,UPI,Success,0,4454.370117,5585.549805,423011.5625
85,3949,15-07-2023,9886.320313,NEFT,Success,0,4358.970215,5527.350098,418652.5938
86,3949,21-08-2023,10178.91992,UPI,Success,0,4708.529785,5470.390137,413944.0625
87,3949,22-09-2023,9944.879883,Net Banking,Success,0,4536.009766,5408.870117,409408.0625
88,3949,14-10-2023,10089.37988,Credit Card,Success,501.25,4739.779785,5349.600098,404668.2813
89,3949,21-11-2023,9972.120117,Cheque,Failed,0,0,0,404668.2813
90,3949,16-12-2023,9907.379883,Debit Card,Pending,0,0,0,404668.2813
91,3949,21-01-2024,10131.67969,UPI,Failed,0,0,0,404668.2813
92,3949,16-02-2024,9913.679688,Net Banking,Success,0,4626.009766,5287.669922,400042.25
93,3949,21-03-2024,9948.660156,Net Banking,Success,0,4721.439941,5227.220215,395320.8125
94,3949,10-04-2024,10165.5,UPI,Success,0,4999.970215,5165.529785,390320.8438
95,3949,11-05-2024,9887.870117,Debit Card,Success,0,4787.680176,5100.189941,385533.1563
96,3949,17-06-2024,10039.19043,UPI,Success,0,5001.560059,5037.629883,380531.625
97,3949,17-07-2024,10095.54004,NEFT,Success,0,5123.259766,4972.279785,375408.3438
98,782,10-11-2021,5040.850098,UPI,Success,281.9500122,2095.050049,2945.800049,281381.75
99,782,10-12-2021,5062.220215,UPI,Success,0,2138.189941,2924.030029,279243.5625
100,782,11-01-2022,5021.410156,UPI,Success,0,2119.610107,2901.810059,277123.9375
101,782,12-02-2022,5021.149902,Debit Card,Success,0,2141.370117,2879.780029,274982.5938
102,782,12-03-2022,4959.089844,Net Banking,Success,0,2101.560059,2857.530029,272881.0313
103,782,08-04-2022,5090.890137,Debit Card,Success,0,2255.199951,2835.689941,270625.8125
104,3217,10-07-2022,2317.23999,Debit Card,Success,0,1037.630005,1279.609985,156291.2656
105,3217,13-08-2022,2280.830078,RTGS,Success,0,1009.659973,1271.170044,155281.5938
106,3217,05-09-2022,2421.5,Debit Card,Success,544.4000244,1158.540039,1262.959961,154123.0625
107,3217,05-10-2022,2535.800049,Net Banking,Success,0,1282.27002,1253.530029,152840.7969
108,3217,08-11-2022,2384.77002,UPI,Success,0,1141.660034,1243.109985,151699.125
109,3217,06-12-2022,2181.77002,Net Banking,Success,0,947.9500122,1233.819946,150751.1875
110,3217,09-01-2023,2461.22998,Net Banking,Success,0,1235.119995,1226.109985,149516.0469
111,3217,08-02-2023,1484.25,Credit Card,Success,0,268.1799927,1216.060059,149247.875
112,3217,09-03-2023,2269.77002,UPI,Success,0,1055.890015,1213.880005,148191.9844
113,3217,08-04-2023,2430.790039,Net Banking,Success,0,1225.48999,1205.290039,146966.4844
114,3217,07-05-2023,2406.080078,UPI,Success,0,1210.75,1195.329956,145755.7344
115,3217,05-06-2023,1285.699951,Cheque,Success,0,100.2200012,1185.47998,145655.5313
116,3217,03-07-2023,2310.449951,RTGS,Success,0,1125.790039,1184.660034,144529.7344
117,3217,06-08-2023,2313.790039,Debit Card,Success,0,1138.280029,1175.51001,143391.4531
118,2783,21-02-2025,6344.149902,UPI,Success,0,3794.669922,2549.47998,224346.8125
119,2783,18-03-2025,5983.850098,Net Banking,Success,0,3476.780029,2507.080078,220870.0469
120,2783,25-04-2025,6020.700195,Cheque,Success,0,3552.47998,2468.219971,217317.5625
121,2783,17-05-2025,6361.049805,Net Banking,Success,444.5700073,3932.52002,2428.52002,213385.0469
122,2783,14-06-2025,6000.180176,Cheque,Success,0,3615.600098,2384.580078,209769.4375
123,2783,19-07-2025,6038.27002,Net Banking,Success,0,3694.090088,2344.169922,206075.3438
124,2699,13-10-2023,6947.959961,UPI,Failed,0,0,0,289478.0938
125,2699,08-11-2023,6625.779785,Net Banking,Success,0,3106.209961,3519.570068,286371.875
126,2699,08-12-2023,6755.390137,UPI,Success,0,3273.590088,3481.800049,283098.2813
127,2699,13-01-2024,6862.540039,UPI,Success,0,3420.540039,3442,279677.75
128,2699,06-02-2024,6874.220215,Credit Card,Success,0,3473.810059,3400.419922,276203.9375
129,2699,07-03-2024,7015.879883,Net Banking,Success,0,3657.699951,3358.179932,272546.25
130,2699,12-04-2024,6910.819824,Net Banking,Success,0,3597.110107,3313.709961,268949.125
131,2699,12-05-2024,6909.930176,UPI,Success,0,3639.949951,3269.969971,265309.1563
132,1509,10-03-2023,6808.600098,UPI,Pending,0,0,0,359709.0313
133,1509,08-04-2023,6982.049805,UPI,Success,0,3681.719971,3300.330078,356027.3125
134,1509,08-05-2023,6823.330078,Cheque,Success,0,3556.780029,3266.550049,352470.5313
135,1509,11-06-2023,6986.850098,Net Banking,Success,0,3752.929932,3233.919922,348717.625
136,1509,12-07-2023,6790.069824,Net Banking,Success,0,3590.590088,3199.47998,345127.0313
137,1509,06-08-2023,6796.5,UPI,Success,0,3629.959961,3166.540039,341497.0625
138,1509,14-09-2023,6880.419922,RTGS,Success,921.2800293,3747.179932,3133.23999,337749.875
139,1509,06-10-2023,6744.5,Net Banking,Success,0,3645.639893,3098.860107,334104.25
140,1509,07-11-2023,6685.589844,Net Banking,Success,0,3620.179932,3065.409912,330484.0625
141,1509,13-12-2023,6877.189941,Net Banking,Success,0,3845,3032.189941,326639.0625
142,1509,05-01-2024,6949,UPI,Success,0,3952.080078,2996.909912,322686.9688
143,4263,19-04-2023,11339.33008,UPI,Success,130.8200073,5258.77002,6080.569824,647395.8125
144,4263,28-05-2023,11213.04004,UPI,Success,0,5181.470215,6031.569824,642214.3125
145,4263,19-06-2023,11133.83984,UPI,Success,0,5150.540039,5983.299805,637063.8125
146,4263,24-07-2023,11044.49023,Credit Card,Success,0,5109.180176,5935.310059,631954.625
147,4263,21-08-2023,11133.41992,UPI,Success,0,5245.709961,5887.709961,626708.875
148,4263,24-09-2023,11194.9502,Cheque,Success,0,5356.109863,5838.839844,621352.75
149,4263,25-10-2023,11035.51953,Debit Card,Success,0,5246.589844,5788.939941,616106.1875
150,4263,17-11-2023,11185.30957,UPI,Success,0,5445.259766,5740.060059,610660.9375
151,4263,22-12-2023,11241.40039,Cheque,Success,0,5552.080078,5689.319824,605108.875
152,4263,24-01-2024,11040.2998,Credit Card,Success,0,5402.709961,5637.600098,599706.125
153,4263,21-02-2024,11170.51953,Net Banking,Success,0,5583.259766,5587.259766,594122.875
154,1624,31-12-2024,20301.41992,UPI,Success,0,13576.70996,6724.700195,581529.875
155,1624,29-01-2025,20055.75,Cheque,Success,0,13484.45996,6571.290039,568045.4375
156,1624,25-02-2025,20153.86914,UPI,Success,0,13734.9502,6418.910156,554310.4375
157,1624,26-03-2025,20232.39063,NEFT,Success,0,13968.67969,6263.709961,540341.75
158,1624,02-05-2025,20409.83984,UPI,Success,17.51000023,14303.98047,6105.859863,526037.8125
159,1624,30-05-2025,20034.42969,RTGS,Success,0,14090.2002,5944.22998,511947.5938
160,1624,02-07-2025,20186.83008,Net Banking,Success,0,14401.82031,5785.009766,497545.7813
161,4294,11-01-2022,11499.17969,UPI,Success,0,8134.299805,3364.889893,344517.5313
162,4294,07-02-2022,11445.59961,Net Banking,Success,0,8158.330078,3287.27002,336359.2188
163,4294,12-03-2022,11672.29004,Net Banking,Success,0,8462.860352,3209.429932,327896.3438
164,4294,07-04-2022,11425.4502,Debit Card,Success,0,8296.769531,3128.679932,319599.5625
165,4294,06-05-2022,11585.04004,Credit Card,Success,0,8535.519531,3049.51001,311064.0625
166,4294,14-06-2022,11697.20996,Credit Card,Success,0,8729.139648,2968.070068,302334.9063
167,4294,12-07-2022,11528.92969,Net Banking,Success,954.7700195,8644.150391,2884.780029,293690.75
168,4294,04-08-2022,11422.69043,UPI,Success,0,8620.389648,2802.300049,285070.375
169,4294,05-09-2022,11574.40039,UPI,Success,0,8854.360352,2720.050049,276216.0313
170,4294,08-10-2022,11579.4502,UPI,Success,0,8943.889648,2635.560059,267272.125
171,4294,03-11-2022,11594.09961,Net Banking,Success,0,9043.879883,2550.219971,258228.25
172,4294,09-12-2022,11600.46973,Cheque,Failed,0,0,0,258228.25
173,4294,09-01-2023,11812.32031,UPI,Success,0,9348.389648,2463.929932,248879.8594
174,4294,31-01-2023,11548.23047,UPI,Success,0,9173.5,2374.72998,239706.3594
175,4294,07-03-2023,11687.75,Net Banking,Success,0,9400.549805,2287.199951,230305.8125
176,4294,11-04-2023,11786.24023,UPI,Success,0,9588.740234,2197.5,220717.0625
177,4294,02-05-2023,11692.33008,Net Banking,Success,0,9586.320313,2106.01001,211130.7344
178,4294,10-06-2023,11704.80957,Debit Card,Success,0,9690.269531,2014.540039,201440.4688
179,4294,05-07-2023,7961.049805,Debit Card,Success,0,6038.970215,1922.079956,195401.4844
180,4294,02-08-2023,11703.75,UPI,Success,0,9839.299805,1864.459961,185562.2031
181,4294,30-08-2023,11726.96973,Credit Card,Success,0,9956.400391,1770.569946,175605.7969
182,4294,05-10-2023,11425.41992,UPI,Success,0,9749.849609,1675.569946,165855.9375
183,4294,05-11-2023,11470.25977,Credit Card,Pending,0,0,0,165855.9375
184,4294,05-12-2023,11493.15039,Cheque,Success,0,9910.610352,1582.540039,155945.3281
185,4294,29-12-2023,11476.41992,UPI,Success,0,9988.44043,1487.97998,145956.8906
186,4294,03-02-2024,11649.62988,Net Banking,Success,0,10256.95996,1392.670044,135699.9375
187,4294,03-03-2024,7751.700195,Net Banking,Success,0,6456.890137,1294.800049,129243.0391
188,4294,01-04-2024,11539.38965,UPI,Success,0,10306.2002,1233.189941,118936.8438
189,4294,01-05-2024,11790.71973,Credit Card,Success,0,10655.86035,1134.859985,108280.9766
190,4294,30-05-2024,11503.79004,Credit Card,Success,0,10470.61035,1033.180054,97810.35938
191,4294,30-06-2024,11820.40039,UPI,Success,0,10887.12988,933.2700195,86923.22656
192,4294,03-08-2024,11606.19043,Net Banking,Success,0,10776.79004,829.3900146,76146.4375
193,4294,31-08-2024,11798.08984,Debit Card,Success,0,11071.51953,726.5599976,65074.92188
194,4294,24-09-2024,11594.08008,Net Banking,Pending,0,0,0,65074.92188
195,4294,22-10-2024,11657.76953,UPI,Success,0,11036.83984,620.9199829,54038.07031
196,4294,30-11-2024,11693.42969,Net Banking,Success,0,11177.82031,515.6099854,42860.26172
197,1034,21-11-2024,4996.220215,Credit Card,Success,0,2506.330078,2489.889893,214951.4375
198,1034,21-12-2024,4903.629883,UPI,Success,0,2442.429932,2461.189941,212509.0156
199,1034,16-01-2025,4847.77002,UPI,Success,0,2414.550049,2433.22998,210094.4531
200,1034,19-02-2025,4840.169922,Net Banking,Success,0,2434.590088,2405.580078,207659.875
201,1034,23-03-2025,5045.160156,Credit Card,Success,0,2667.459961,2377.709961,204992.4063
202,1034,22-04-2025,5078.290039,Credit Card,Success,0,2731.129883,2347.159912,202261.2969
203,2727,05-04-2025,10849.50977,Debit Card,Success,644.7399902,4998.029785,5851.470215,542294.9375
204,2727,05-05-2025,10977.30957,UPI,Success,0,5179.27002,5798.040039,537115.6875
205,2727,04-06-2025,10957.48047,UPI,Failed,0,0,0,537115.6875
206,2727,13-07-2025,11020.21973,UPI,Success,0,5277.560059,5742.660156,531838.125
207,2192,19-05-2024,15390.66016,UPI,Success,0,6177.129883,9213.530273,727481.875
208,2192,23-06-2024,15630.03027,Credit Card,Success,0,6494.069824,9135.959961,720987.8125
209,2192,14-07-2024,15715.76953,UPI,Success,0,6661.370117,9054.410156,714326.4375
210,2192,13-08-2024,15407.90039,Cheque,Success,0,6437.160156,8970.75,707889.25
211,2192,12-09-2024,15568.23047,UPI,Success,0,6678.319824,8889.910156,701210.9375
212,2192,17-10-2024,15344.08008,UPI,Success,0,6538.040039,8806.040039,694672.9375
213,1160,20-04-2022,9183.360352,UPI,Success,800.0800171,6093.290039,3090.070068,358158
214,1160,29-05-2022,9205.030273,Credit Card,Success,0,6166.660156,3038.370117,351991.3438
215,1160,25-06-2022,9454.44043,UPI,Success,0,6468.379883,2986.060059,345522.9688
216,1160,24-07-2022,9405.160156,Debit Card,Success,0,6473.970215,2931.189941,339049
217,1160,18-08-2022,9169.19043,Net Banking,Success,0,6292.930176,2876.27002,332756.0625
218,1160,26-09-2022,9232.679688,UPI,Success,0,6409.799805,2822.879883,326346.2813
219,1160,18-10-2022,9388.990234,NEFT,Success,0,6620.47998,2768.5,319725.7813
220,605,13-02-2025,2720.909912,Cheque,Success,0,1024.780029,1696.130005,155300.9375
221,605,23-03-2025,2436.439941,UPI,Success,0,751.4199829,1685.02002,154549.5156
222,605,22-04-2025,2480.969971,UPI,Success,0,804.0999756,1676.859985,153745.4063
223,605,22-05-2025,2744.719971,Debit Card,Success,0,1076.579956,1668.140015,152668.8125
224,605,17-06-2025,2617.360107,Net Banking,Success,0,960.9000244,1656.459961,151707.9219
225,4057,10-06-2025,4792.379883,Debit Card,Success,0,2736.419922,2055.969971,253193.1719
226,4057,07-07-2025,3334.149902,Credit Card,Pending,0,0,0,253193.1719
227,4588,02-10-2022,9821.299805,Cheque,Success,0,4589.319824,5231.97998,562563.25
228,4588,03-11-2022,9628.30957,UPI,Success,0,4438.660156,5189.649902,558124.5625
229,4588,03-12-2022,9546.849609,Net Banking,Success,0,4398.149902,5148.700195,553726.4375
230,4588,26-12-2022,9825.980469,Cheque,Success,0,4717.850098,5108.129883,549008.5625
231,4588,28-01-2023,9590.950195,NEFT,Success,0,4526.350098,5064.600098,544482.1875
232,4588,26-02-2023,9787.55957,Credit Card,Success,0,4764.709961,5022.850098,539717.5
233,4588,25-03-2023,9850.530273,Net Banking,Success,0,4871.640137,4978.890137,534845.875
234,4588,25-04-2023,9591.660156,Net Banking,Success,0,4657.709961,4933.950195,530188.125
235,4588,28-05-2023,9613.790039,UPI,Success,0,4722.810059,4890.990234,525465.3125
236,4588,30-06-2023,9693.169922,Debit Card,Success,0,4845.75,4847.419922,520619.5938
237,4588,28-07-2023,9575.980469,Cheque,Success,0,4773.259766,4802.720215,515846.3438
238,4588,29-08-2023,9818.209961,UPI,Success,0,5059.52002,4758.680176,510786.8125
239,4588,19-09-2023,9736.44043,UPI,Success,252.0800018,5024.430176,4712.009766,505762.375
240,4588,25-10-2023,9884.219727,Net Banking,Success,233.2400055,5218.569824,4665.660156,500543.8125
241,4588,28-11-2023,9767.5,Credit Card,Success,0,5149.97998,4617.52002,495393.8438
242,4588,23-12-2023,9916.519531,Net Banking,Success,0,5346.509766,4570.009766,490047.3125
243,4588,20-01-2024,9555.799805,UPI,Success,0,5035.120117,4520.689941,485012.1875
244,4588,23-02-2024,9660.070313,Net Banking,Success,0,5185.830078,4474.240234,479826.375
245,2070,27-10-2023,4074.469971,UPI,Success,0,2373.219971,1701.25,147626.7813
246,2070,27-11-2023,3908.310059,UPI,Success,0,2233.97998,1674.329956,145392.7969
247,2070,30-12-2023,4254.220215,Debit Card,Success,0,2605.219971,1649,142787.5781
248,2070,25-01-2024,4096.839844,Net Banking,Success,0,2477.389893,1619.449951,140310.1875
249,2070,20-02-2024,4132.02002,UPI,Success,0,2540.669922,1591.349976,137769.5156
250,2070,25-03-2024,4072.719971,Debit Card,Success,0,2510.179932,1562.540039,135259.3438
251,2070,24-04-2024,4130.919922,RTGS,Success,0,2596.850098,1534.069946,132662.4844
252,2070,23-05-2024,4088.030029,RTGS,Success,0,2583.419922,1504.609985,130079.0625
253,2070,19-06-2024,4066.899902,Credit Card,Success,0,2591.590088,1475.310059,127487.4766
254,2070,25-07-2024,1961.47998,Cheque,Success,0,515.5599976,1445.920044,126971.9219
255,2070,19-08-2024,3930.659912,UPI,Success,0,2490.590088,1440.069946,124481.3281
256,2070,26-09-2024,3029.76001,Net Banking,Success,0,1617.939941,1411.829956,122863.3906
257,2070,18-10-2024,4223.310059,UPI,Success,0,2829.830078,1393.47998,120033.5625
258,2070,16-11-2024,3988.01001,UPI,Success,0,2626.629883,1361.380005,117406.9297
259,2070,17-12-2024,4049.310059,Net Banking,Success,0,2717.719971,1331.589966,114689.2109
260,2070,20-01-2025,3994.449951,Credit Card,Pending,0,0,0,114689.2109
261,2070,21-02-2025,4185.450195,UPI,Success,0,2884.679932,1300.77002,111804.5313
262,2070,18-03-2025,4071.47998,UPI,Success,0,2803.429932,1268.050049,109001.1016
263,2070,23-04-2025,4217.450195,Net Banking,Success,0,2981.199951,1236.25,106019.8984
264,2070,16-05-2025,4097.169922,UPI,Success,0,2894.72998,1202.439941,103125.1719
265,2070,15-06-2025,4255.52002,Net Banking,Success,0,3085.909912,1169.609985,100039.2578
266,1161,14-04-2025,5074.049805,UPI,Failed,0,0,0,158956.0156
267,1161,14-05-2025,5196.459961,UPI,Success,0,3960.580078,1235.880005,154995.4375
268,1161,15-06-2025,4892.890137,NEFT,Success,0,3687.810059,1205.089966,151307.625
269,1161,10-07-2025,5014.120117,NEFT,Success,979.2800293,3837.709961,1176.420044,147469.9375
270,4883,11-12-2024,7104.169922,Net Banking,Success,0,2435.02002,4669.149902,423971.0313
271,4883,09-01-2025,7245.040039,Debit Card,Success,471.3099976,2602.560059,4642.47998,421368.4688
272,4883,06-02-2025,7262.149902,UPI,Success,0,2648.159912,4613.97998,418720.3125
273,4883,13-03-2025,7362.080078,RTGS,Success,0,2777.100098,4584.990234,415943.1875
274,4883,16-04-2025,7018.470215,UPI,Success,0,2463.889893,4554.580078,413479.3125
275,4883,09-05-2025,7259.859863,Net Banking,Success,0,2732.27002,4527.600098,410747.0625
276,4883,12-06-2025,7110.189941,UPI,Success,0,2612.51001,4497.680176,408134.5313
277,4883,14-07-2025,7257.509766,Cheque,Success,0,2788.429932,4469.069824,405346.125
278,894,10-11-2023,9839.879883,Net Banking,Success,0,6716.709961,3123.169922,284941.625
279,894,09-12-2023,9718.419922,Debit Card,Success,0,6667.169922,3051.25,278274.4375
280,894,10-01-2024,9729.009766,Net Banking,Success,0,6749.149902,2979.860107,271525.3125
281,894,12-02-2024,9615.519531,UPI,Success,0,6707.939941,2907.580078,264817.375
282,894,08-03-2024,9989.540039,UPI,Success,0,7153.779785,2835.75,257663.5781
283,894,14-04-2024,9922.839844,Debit Card,Success,0,7163.689941,2759.149902,250499.8906
284,1803,14-11-2024,4373.069824,UPI,Success,0,2444.76001,1928.310059,247174.6094
285,1803,20-12-2024,4724.310059,Net Banking,Success,0,2814.889893,1909.420044,244359.7188
286,1803,13-01-2025,3556.5,Debit Card,Success,0,1668.819946,1887.680054,242690.9063
287,1803,11-02-2025,4581.410156,Credit Card,Success,0,2706.620117,1874.790039,239984.2969
288,1803,14-03-2025,4396.470215,Credit Card,Success,0,2542.590088,1853.880005,237441.7031
289,1803,19-04-2025,4675.419922,Net Banking,Success,0,2841.179932,1834.23999,234600.5156
290,1803,21-05-2025,4681.209961,Credit Card,Failed,0,0,0,234600.5156
291,1803,11-06-2025,4425.910156,Net Banking,Success,0,2613.620117,1812.290039,231986.8906
292,1803,14-07-2025,4630.279785,UPI,Success,0,2838.179932,1792.099976,229148.7031
293,2609,13-05-2025,12233.17969,Credit Card,Success,0,7489.569824,4743.609863,334392.0313
294,2609,13-06-2025,12002.46973,UPI,Pending,0,0,0,334392.0313
295,2609,18-07-2025,12235.53027,UPI,Success,0,7595.839844,4639.689941,326796.1875
296,3373,28-09-2023,10976.71973,Debit Card,Success,0,8375.580078,2601.139893,332757.8438
297,3373,01-11-2023,5068.350098,UPI,Success,0,2531.070068,2537.280029,330226.75
298,3373,29-11-2023,10809.51953,Debit Card,Success,0,8291.540039,2517.97998,321935.2188
299,3373,22-12-2023,11050.84961,UPI,Success,0,8596.099609,2454.76001,313339.125
300,3373,30-01-2024,11015.0498,NEFT,Success,0,8625.839844,2389.209961,304713.2813
301,3373,25-02-2024,10688,Net Banking,Pending,0,0,0,304713.2813
302,3373,22-03-2024,10823.9502,Cheque,Success,0,8500.519531,2323.439941,296212.7813
303,3373,22-04-2024,10983.46973,Credit Card,Success,0,8724.839844,2258.620117,287487.9063
304,3373,22-05-2024,10909.28027,Net Banking,Success,0,8717.19043,2192.100098,278770.75
305,3373,22-06-2024,10811.57031,UPI,Success,0,8685.950195,2125.629883,270084.7813
