default_id,customer_id,loan_id,default_date,default_amount,days_overdue,collection_status,last_contact_date,contact_attampts,legal_notice_sent,recovery_amount,collection_agent_id
114,2839,630,21-07-2023,339259.9375,733,Settled,13-06-2025,12,1,335845.3438,9
115,3924,634,03-01-2024,220935.3281,567,Legal Action,11-05-2025,28,1,64791.19141,3
116,2217,643,19-12-2024,279464.0313,216,Active,28-06-2025,28,0,17643.98047,8
117,4658,647,03-03-2025,266515.3438,142,Active,24-05-2025,17,0,96600.0625,4
118,4452,650,01-05-2025,306243.375,83,Active,02-06-2025,12,0,83824.64844,6
119,2799,657,28-11-2024,259673.2031,237,Legal Action,19-05-2025,37,1,32742.35938,6
120,3143,663,02-06-2025,87892.96875,51,Active,03-06-2025,26,0,7360.890137,2
121,4707,669,18-02-2024,427745.125,521,Active,02-06-2025,8,0,233161.7656,5
122,3821,670,13-05-2025,489059.6875,71,Legal Action,19-06-2025,39,1,318767.0313,5
123,3821,672,04-05-2025,675560.8125,80,Legal Action,21-06-2025,39,1,124955.9219,4
124,4587,681,16-01-2025,229787.5469,188,Active,13-05-2025,16,1,32510.2793,4
125,332,682,14-03-2023,754483.1875,862,Written Off,22-07-2025,35,1,208039.875,2
126,332,683,20-06-2025,194292.4219,33,Legal Action,27-06-2025,37,1,44264.83984,8
127,1702,685,23-12-2024,712614.3125,212,Legal Action,22-05-2025,19,1,116463.7813,6
128,3473,691,15-05-2025,501316.7813,69,Active,25-05-2025,24,1,81866.39844,9
129,4047,699,08-07-2023,381339.2188,746,Written Off,26-05-2025,46,1,81393.13281,8
130,138,700,12-05-2025,217489.3281,72,Active,08-06-2025,24,0,63665.46094,2
131,138,701,04-05-2024,170405.8594,445,Settled,25-06-2025,40,0,90267.9375,8
132,324,705,14-06-2025,335829.2188,39,Active,01-07-2025,17,0,10035.12012,3
133,3913,710,10-08-2024,358920.9688,347,Legal Action,13-07-2025,46,1,160130.4844,8
134,1769,715,10-05-2025,741183.125,74,Active,26-05-2025,12,1,195387.0469,4
135,4901,719,22-07-2025,397109.7813,30,Legal Action,19-07-2025,27,1,98873.4375,6
136,68,726,04-01-2025,177439.2031,200,Legal Action,03-06-2025,16,1,97182.21094,10
137,4460,728,10-06-2025,316455.7188,43,Active,11-07-2025,24,0,67773.24219,5
138,1993,741,12-10-2024,681402.4375,284,Active,16-05-2025,30,0,144369.3281,2
139,2134,749,05-11-2024,246833.6875,260,Active,19-06-2025,15,1,67596.46094,1
140,1132,752,03-07-2025,422384.1875,30,Active,23-06-2025,18,0,164231.3125,9
141,1078,759,24-04-2023,222139.8438,821,Written Off,03-07-2025,49,1,25083.84961,9
142,4908,767,19-03-2024,198254.375,491,Settled,30-04-2025,24,1,173850,8
143,504,771,19-10-2024,287373.5625,277,Settled,19-05-2025,32,0,207866.0938,6
144,1619,772,16-07-2024,75463.39063,372,Active,09-07-2025,23,0,15544.9502,1
145,1619,774,09-11-2024,173087.7656,256,Legal Action,25-05-2025,41,1,40191.28906,8
146,4875,776,26-11-2024,279617.25,239,Legal Action,16-06-2025,40,1,117776.0625,6
147,4072,780,30-05-2025,387100.8125,54,Active,10-06-2025,19,0,186856.2344,5
148,1819,789,10-05-2025,350480.4063,74,Active,13-05-2025,9,0,157729.1094,3
149,232,790,14-06-2024,185445.3281,404,Active,03-06-2025,15,0,21897.50977,9
150,232,791,21-12-2024,578928.375,214,Active,05-05-2025,28,1,329867.7188,4
151,1485,807,29-03-2025,224035.9375,116,Active,27-05-2025,18,0,32483.92969,9
152,1757,814,13-07-2025,292088.7188,30,Active,27-06-2025,17,0,47245.03906,7
153,804,839,25-11-2024,234642.0156,240,Active,09-06-2025,25,1,21210.58984,2
154,804,840,06-07-2024,206065.9219,382,Written Off,21-07-2025,46,1,19154.08984,6
155,1427,844,24-09-2024,303976.5938,302,Active,06-06-2025,13,0,79581.25,9
156,3071,857,30-06-2025,225366.0469,30,Active,15-07-2025,29,0,133020.9375,10
157,3988,862,02-01-2024,712487.375,568,Active,01-05-2025,17,1,19227.66016,1
158,3983,870,04-11-2023,269553.0625,627,Legal Action,27-04-2025,42,1,117596.8203,7
159,780,871,30-07-2024,292231.6875,358,Legal Action,28-06-2025,47,1,156811.9531,8
160,780,873,10-01-2025,222890.1094,194,Legal Action,04-05-2025,17,1,93293.45313,9
161,3783,886,08-12-2024,662798.1875,227,Settled,21-06-2025,19,0,424668.0313,8
162,2365,889,06-01-2025,217998.3438,198,Active,13-05-2025,22,0,100275.2813,9
163,1380,892,06-11-2023,346555.8438,625,Active,01-07-2025,10,0,201055.6563,7
164,1859,895,27-12-2024,281084.4063,208,Legal Action,02-06-2025,21,1,201008.6875,4
165,1859,897,01-02-2024,296592.9375,538,Legal Action,10-06-2025,48,1,229251.8125,7
166,712,902,02-10-2024,384192.875,294,Active,01-05-2025,22,0,1726.459961,4
167,4075,904,17-06-2025,840149.8125,36,Active,29-06-2025,23,0,317005.875,8
168,2208,912,10-08-2024,396756.6563,347,Active,09-06-2025,14,0,193523.5938,4
169,648,921,27-03-2024,563545.875,483,Legal Action,03-07-2025,16,1,353476.2813,4
170,2079,931,04-04-2024,203167.0156,475,Legal Action,21-07-2025,37,1,29557.91016,4
171,2079,932,08-06-2024,265042.75,410,Active,08-05-2025,23,0,19736.06055,10
172,2079,933,05-06-2024,304543.3438,413,Active,03-05-2025,26,0,80879.67188,10
173,3163,956,28-12-2024,428479.125,207,Active,05-06-2025,5,0,10761.45996,1
174,410,979,01-09-2024,234580.5469,325,Legal Action,19-05-2025,23,1,164467.2188,8
175,713,986,07-04-2025,616600.3125,107,Legal Action,02-07-2025,19,1,316664.75,4
176,713,987,07-05-2024,360182.875,442,Settled,12-07-2025,19,0,181185.1563,3
177,3910,989,02-03-2025,284368.75,143,Active,16-07-2025,6,0,117994.2188,2
178,3298,994,09-11-2024,411186.9375,256,Legal Action,01-06-2025,28,1,108677.3906,10
179,3298,996,30-05-2024,719592.0625,419,Legal Action,25-04-2025,43,1,229045.6563,10
180,1739,997,28-05-2023,247712.4063,787,Legal Action,14-05-2025,49,1,65388.07813,6
181,1377,1003,16-03-2025,392092.6563,129,Active,30-04-2025,14,0,13722.09961,7
182,3710,1034,20-01-2025,217457.7656,184,Legal Action,03-06-2025,45,1,74931.90625,4
183,2856,1037,24-06-2024,650703.5625,394,Settled,19-07-2025,12,1,554691.75,10
184,4282,1043,14-06-2025,461647.9375,39,Active,10-07-2025,8,0,270064.2188,1
185,2449,1058,30-08-2024,941672.3125,327,Active,19-05-2025,8,1,258797.3281,10
186,4620,1072,21-02-2023,243435.3125,883,Legal Action,19-07-2025,36,1,100768.2891,3
187,4620,1073,09-11-2023,280732.5625,622,Written Off,28-04-2025,56,1,72784.36719,3
188,4620,1074,23-02-2024,270310.5625,516,Active,20-06-2025,16,0,123916.6016,2
189,1114,1076,13-02-2024,336601,526,Active,06-05-2025,20,1,29679.07031,6
190,2114,1078,17-11-2024,729982.875,248,Legal Action,14-07-2025,48,1,97109.6875,3
191,3682,1089,19-10-2024,277952.3125,277,Active,17-05-2025,12,0,66748.54688,7
192,4527,1116,19-04-2025,157169.7344,95,Active,11-05-2025,27,0,4919.959961,2
193,1594,1121,08-03-2025,819018.625,137,Active,10-07-2025,17,0,307462.75,5
194,4137,1125,26-04-2025,322619.8438,88,Legal Action,28-05-2025,27,1,85141.67188,3
195,2371,1132,19-09-2024,323898.25,307,Legal Action,03-05-2025,16,1,45520.69141,6
196,1475,1136,18-05-2024,194739.9219,431,Active,06-06-2025,22,1,20788.34961,3
197,587,1140,29-05-2025,442279.8125,55,Active,20-06-2025,19,0,172101.375,10
198,2742,1149,05-09-2023,502924.0938,687,Active,02-05-2025,19,0,126957.75,2
199,1535,1156,09-03-2025,162673.4375,136,Active,27-06-2025,9,0,48246.96875,2
200,531,1159,17-06-2025,214981.2969,36,Legal Action,17-07-2025,15,1,117937.7031,10
201,611,1166,23-03-2025,492111.75,122,Active,04-07-2025,28,0,130746.0938,2
202,611,1167,09-09-2023,741696,683,Legal Action,22-07-2025,37,1,305768.9375,10
203,3353,1173,23-01-2025,176837.2656,181,Settled,07-07-2025,25,0,165022.7344,5
204,4551,1175,12-06-2025,228461.6875,41,Active,13-07-2025,27,0,74060.34375,8
205,3584,1178,25-02-2023,257450.7344,879,Written Off,14-07-2025,44,1,58471.94922,5
206,3389,1187,10-05-2024,156185.7813,439,Active,25-06-2025,30,1,63032.19141,1
207,3379,1190,07-03-2023,365984.5,869,Settled,05-06-2025,37,1,236780.2656,7
208,3971,1192,18-06-2025,294751.375,35,Active,16-07-2025,16,0,167134.5781,2
209,4533,1197,16-07-2025,237634.5938,30,Active,08-07-2025,12,0,25000.82031,3
210,3748,1200,05-03-2024,355650.8125,505,Legal Action,07-06-2025,33,1,130368.8203,2
211,216,1204,01-11-2024,464175.375,264,Settled,18-06-2025,14,1,374150.5625,4
212,2204,1209,09-03-2025,260218.4531,136,Active,19-07-2025,8,0,89522.39844,2
213,4601,1219,15-07-2025,565538.5625,30,Active,17-07-2025,6,0,201250.3125,7
214,4033,1224,18-11-2024,446135.4688,247,Active,08-07-2025,16,1,176001.9219,2
215,1389,1226,24-03-2024,437186.1875,486,Legal Action,06-05-2025,39,1,330217.375,10
216,4733,1233,31-07-2024,379963.875,357,Legal Action,10-07-2025,44,1,244036.125,10
217,538,1243,06-07-2025,229063.375,30,Active,05-07-2025,10,0,109641.4063,4
218,1733,1246,13-10-2024,487385.125,283,Legal Action,12-06-2025,20,1,280516,1
219,1468,1253,13-01-2024,269969.25,557,Legal Action,08-06-2025,23,1,33717.01953,7
220,1468,1254,01-04-2024,196553.0625,478,Legal Action,04-05-2025,29,1,65978.3125,8
221,3731,1260,01-03-2024,140718.7188,509,Settled,07-05-2025,38,0,92808.86719,3
222,647,1265,30-01-2023,372098.9375,905,Settled,30-06-2025,12,1,162227.6719,10
223,888,1275,06-05-2024,292900.375,443,Settled,19-07-2025,35,0,229746.0469,10
224,636,1283,10-09-2024,167980.0313,316,Legal Action,08-05-2025,26,1,67238.54688,10
225,636,1284,16-04-2025,175345.2656,98,Legal Action,04-06-2025,18,1,41339.28125,6
226,2342,1285,16-01-2025,217846.3125,188,Active,07-06-2025,24,1,21986.2207,6
227,2342,1287,21-04-2024,269908.2188,458,Legal Action,18-05-2025,50,1,45157.03906,6
228,3111,1297,15-11-2024,249737.2031,250,Legal Action,27-05-2025,30,1,106429.2422,2
229,1946,1303,11-01-2025,168716.2656,193,Active,03-05-2025,6,0,30325,4
230,2567,1308,11-08-2023,284269.9688,712,Active,31-05-2025,8,1,82567.92969,3
231,3918,1318,27-09-2024,374058.2813,299,Legal Action,07-05-2025,29,1,161876.1875,7
232,2647,1338,29-05-2025,272504.7188,55,Active,23-06-2025,18,0,27249.05078,1
233,4465,1345,25-02-2025,320710.2813,148,Active,08-07-2025,21,0,139202.0469,10
234,4465,1347,11-07-2025,281229.4375,30,Legal Action,30-06-2025,37,1,41036.10938,7
235,1028,1354,06-01-2024,184861.7969,564,Settled,30-05-2025,24,1,184861.7969,2
236,4900,1362,30-03-2024,254216.5625,480,Legal Action,01-05-2025,30,1,50475.26172,6
237,2565,1364,19-03-2025,322811,126,Active,05-06-2025,29,0,139498.9375,3
238,2565,1365,10-05-2025,318750.4375,74,Active,25-05-2025,24,0,108112.7188,1
239,4028,1372,19-01-2025,474005.2813,185,Legal Action,05-07-2025,47,1,172713.8438,6
240,4028,1374,08-04-2025,292382.4063,106,Active,22-07-2025,5,0,87060.78125,7
241,425,1389,05-03-2023,249885.3125,871,Written Off,25-06-2025,42,1,52536.46875,7
242,3794,1391,19-07-2025,329015.4688,30,Legal Action,29-06-2025,48,1,157347.1406,10
243,3240,1394,22-04-2025,178032.6875,92,Active,04-06-2025,11,0,72685.40625,4
244,3240,1395,15-04-2025,184691.7656,99,Legal Action,05-07-2025,22,1,64006.78125,8
245,4419,1404,09-01-2025,333622.875,195,Active,31-05-2025,25,0,160871.4063,6
246,3541,1407,19-09-2024,349348.9375,307,Legal Action,18-07-2025,40,1,202187.8594,3
247,4279,1409,11-06-2023,272065.8438,773,Settled,26-04-2025,15,0,211202.0625,2
248,2341,1411,21-04-2024,559511.375,458,Legal Action,20-07-2025,41,1,171871.0938,4
249,2168,1425,20-10-2024,277804.1563,276,Active,02-05-2025,12,1,2617.72998,3
250,1631,1436,12-12-2024,283140.8125,223,Legal Action,27-06-2025,36,1,161522.7344,6
251,4424,1438,29-08-2023,239364.7031,694,Written Off,09-05-2025,50,1,38810.75,2
252,295,1446,11-04-2025,261279.75,103,Active,07-05-2025,9,0,70342.04688,10
253,3321,1447,12-05-2025,212212.5156,72,Active,12-07-2025,18,0,119014.6563,9
254,935,1455,05-07-2025,231798.8594,30,Active,11-07-2025,21,0,44274.92188,6
255,4966,1461,30-06-2025,461114.25,30,Active,03-07-2025,16,0,81115.32813,10
256,1659,1462,14-05-2025,314350.9375,70,Legal Action,05-07-2025,50,1,132142.6875,5
257,1659,1463,08-07-2025,185509.7031,30,Legal Action,03-07-2025,18,1,91097.75781,1
258,4199,1466,16-05-2022,335472.8438,1164,Written Off,11-07-2025,34,1,26961.2207,5
259,3174,1478,16-02-2024,434858.4688,523,Active,09-07-2025,22,0,129153.6172,1
260,1203,1480,11-12-2024,127865.3281,224,Active,24-04-2025,23,0,822.7700195,3
261,1203,1481,29-10-2024,271040.7188,267,Legal Action,15-07-2025,42,1,52127.05078,2
262,4008,1491,17-08-2023,142145.6875,706,Active,11-07-2025,13,1,49413.96094,10
263,3683,1496,04-03-2025,175189.6875,141,Active,26-05-2025,20,0,73030.45313,2
264,4206,1499,07-04-2025,267800,107,Legal Action,17-07-2025,33,1,182811.5938,6
265,4257,1505,22-05-2025,316069.2813,62,Active,09-07-2025,23,0,150426.2188,2
266,4257,1506,04-11-2022,305236.4063,992,Legal Action,13-06-2025,16,1,76787.59375,7
267,2263,1511,02-03-2024,593528.3125,508,Settled,04-05-2025,17,0,540509.875,9
268,813,1519,14-10-2024,410562.7813,282,Settled,18-06-2025,29,0,254460.0781,3
269,3312,1522,02-04-2025,550095.1875,112,Active,22-06-2025,11,0,6019.470215,6
270,1254,1529,21-07-2024,220593.2969,367,Written Off,22-05-2025,38,1,52449.08984,10
271,1254,1530,03-09-2023,391610.5313,689,Legal Action,16-06-2025,20,1,233837.6875,3
272,1982,1532,18-04-2024,911344.8125,461,Legal Action,17-07-2025,34,1,116487.4766,2
273,1422,1551,27-07-2024,184193.6875,361,Legal Action,23-05-2025,19,1,57575.78906,7
274,3198,1553,25-05-2025,232852.7188,59,Legal Action,12-07-2025,23,1,103301.5625,9
275,3198,1554,25-02-2025,201751.5469,148,Active,10-06-2025,27,0,49689.17969,6
276,1407,1560,24-04-2023,331265.2813,821,Legal Action,28-06-2025,28,1,91256.82813,1
277,3948,1569,31-08-2023,494492.4375,692,Written Off,12-05-2025,27,1,54823.89063,7
278,3329,1582,04-07-2022,515399.0313,1115,Written Off,07-06-2025,64,1,109070.8203,8
279,1029,1586,14-11-2023,404997.375,617,Written Off,15-06-2025,28,1,85370.88281,6
280,119,1589,16-07-2025,488723.0625,30,Legal Action,01-07-2025,37,1,248447.5938,10
281,3635,1597,14-06-2024,294149.0625,404,Active,07-05-2025,26,1,77429.10156,3
282,3635,1598,24-10-2023,311553.75,638,Written Off,26-06-2025,63,1,81560.57031,8
283,2587,1609,05-03-2025,321786.5625,140,Legal Action,31-05-2025,34,1,119225.4219,8
284,2587,1610,13-05-2025,253355.9844,71,Active,30-06-2025,30,0,62080.14844,4
285,2111,1619,24-02-2025,316418.8438,149,Active,24-06-2025,15,0,148066.1094,7
286,924,1628,22-03-2025,862726.125,123,Active,12-05-2025,23,1,185117.2969,7
287,882,1646,01-02-2024,317157.1875,538,Legal Action,14-07-2025,33,1,173651.2656,9
288,1988,1649,01-03-2024,156194.8281,509,Settled,04-07-2025,17,0,137369.6875,4
289,1988,1650,30-08-2024,279519.5938,327,Legal Action,26-06-2025,43,1,61078.32031,4
290,2584,1660,19-04-2025,481255.2813,95,Legal Action,27-04-2025,38,1,177173.3438,8
291,3840,1683,04-05-2025,138566.7188,80,Active,07-07-2025,17,0,24296.73047,2
292,923,1686,15-09-2023,361340.9375,677,Legal Action,09-07-2025,15,1,63655.82031,7
293,321,1691,02-06-2025,559379.4375,51,Active,17-07-2025,29,1,66497.79688,8
294,2785,1703,07-12-2024,342919.8125,228,Settled,18-05-2025,15,0,342919.8125,3
295,4266,1711,17-07-2024,139307.6875,371,Legal Action,11-05-2025,24,1,50806.33984,8
296,2404,1721,11-11-2023,344546.375,620,Legal Action,08-07-2025,25,1,199861.4531,1
297,2329,1736,24-02-2022,396236.5313,1245,Legal Action,07-06-2025,48,1,148046.9219,8
298,546,1746,30-08-2023,433738.6875,693,Legal Action,05-06-2025,42,1,215104.2656,3
299,2269,1748,25-05-2024,308784.5,424,Active,24-06-2025,7,1,167329.5469,7
300,1842,1752,17-07-2025,532599.4375,30,Active,12-07-2025,25,1,159948.0469,2
301,1257,1753,22-09-2022,543935.1875,1035,Legal Action,08-05-2025,18,1,225478.5781,6
302,1257,1754,08-04-2025,202137.2031,106,Active,25-06-2025,24,0,76826.09375,8
303,4255,1763,29-05-2023,468310.375,786,Written Off,07-05-2025,50,1,95376.25781,9
304,4255,1764,07-05-2025,100454.3594,77,Active,28-06-2025,16,0,8780.80957,2
305,1881,1767,22-05-2025,765800.5,62,Active,07-06-2025,9,0,123841.6875,7
306,377,1776,24-03-2025,455265.0938,121,Active,20-05-2025,23,0,52603.46875,4
